file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
CNET_252100.exe,0.7,BENIGN,RANSOMWARE,0.2057,0.8366,0.1765,0.8222,0.1425,0.8578,0.1909,0.8216,0.1789,0.8345,7.86,0,0,0,1,0.6556
secproc_isv.dll,0.7238,BENIGN,RANSOMWARE,0.4034,0.434,0.2473,0.2544,0.2947,0.2512,0.2578,0.2601,0.3008,0.2999,7.0,0,0,0,138,0.0009
modemui.dll,0.7,BENIGN,RANSOMWARE,0.0633,0.8828,0.0469,0.6843,0.0511,0.7658,0.1796,0.7799,0.0852,0.7782,5.84,0,0,0,166,0.693
CNET_250657.exe,0.7,BENIGN,RANSOMWARE,0.0198,0.0045,0.0187,0.0063,0.0621,0.0066,0.0307,0.0048,0.0328,0.0056,6.09,0,1,0,1,0.0273
Sourceforge_4547.exe,0.6725,BENIGN,RANSOMWARE,0.1479,0.2811,0.2522,0.2544,0.2431,0.2512,0.1686,0.2601,0.2029,0.2617,7.62,0,0,0,1,0.0588
CNET_204657.exe,0.7,BENIGN,RANSOMWARE,0.0274,0.8366,0.0149,0.8222,0.0231,0.8578,0.0315,0.8216,0.0242,0.8345,6.66,0,0,0,1,0.8103
Sourceforge_6548_7221.exe,0.6242,BENIGN,RANSOMWARE,0.1773,0.2811,0.0995,0.2544,0.2866,0.2512,0.2835,0.2601,0.2117,0.2617,7.96,0,0,0,1,0.05
CNET_104817.exe,0.7,BENIGN,RANSOMWARE,0.0512,0.8366,0.0121,0.8222,0.0689,0.8578,0.1297,0.8216,0.0655,0.8345,7.42,0,0,0,1,0.7691
vps_helper.exe,0.8025,BENIGN,RANSOMWARE,0.4034,0.089,0.5395,0.0253,0.4717,0.0864,0.3339,0.0887,0.4371,0.0724,6.42,0,0,0,191,0.3648
Sourceforge_4546.exe,0.7593,BENIGN,RANSOMWARE,0.0415,0.0187,0.4211,0.0247,0.2528,0.0232,0.0941,0.0217,0.2024,0.0221,6.15,0,0,0,1,0.1803
CNET_10961.exe,0.7,BENIGN,RANSOMWARE,0.0271,0.8366,0.008,0.8222,0.0093,0.8578,0.0185,0.8216,0.0157,0.8345,7.13,0,0,0,1,0.8188
Sourceforge_2991.exe,0.7059,BENIGN,RANSOMWARE,0.1802,0.2811,0.2313,0.2544,0.3608,0.2512,0.1776,0.2601,0.2375,0.2617,7.63,0,0,0,1,0.0242
Sourceforge_2011.exe,0.7,BENIGN,RANSOMWARE,0.025,0.8366,0.006,0.8222,0.0062,0.8578,0.0271,0.8216,0.0161,0.8345,7.49,0,0,0,1,0.8185
Sourceforge_3892.exe,0.5108,BENIGN,SUSPICIOUS,0.0315,0.0187,0.2522,0.0247,0.1659,0.0232,0.07,0.0217,0.1299,0.0221,4.08,0,0,0,1,0.1078
serwvdrv.dll,0.6544,BENIGN,RANSOMWARE,0.2038,0.5974,0.0523,0.4188,0.0699,0.3561,0.1343,0.3718,0.1151,0.436,5.76,1,0,0,64,0.3209
unset.exe,0.7395,BENIGN,RANSOMWARE,0.6947,0.2329,0.5642,0.1887,0.6626,0.158,0.6198,0.1986,0.6353,0.1945,6.74,1,0,0,171,0.4408
gitk.exe,0.5928,BENIGN,SUSPICIOUS,0.3016,0.6154,0.026,0.5478,0.0945,0.5153,0.1663,0.431,0.1471,0.5274,7.54,0,0,0,86,0.3803
Sourceforge_7714.exe,0.7,BENIGN,RANSOMWARE,0.0715,0.8366,0.0448,0.8222,0.1217,0.8578,0.1776,0.8216,0.1039,0.8345,7.5,0,0,0,1,0.7306
Sourceforge_7717.exe,0.7,BENIGN,RANSOMWARE,0.0711,0.8366,0.0173,0.8222,0.0368,0.8578,0.07,0.8216,0.0488,0.8345,7.89,0,0,0,1,0.7858
winipcsecproc.dll,0.4832,BENIGN,SUSPICIOUS,0.1869,0.5974,0.0273,0.4188,0.0383,0.3561,0.098,0.3718,0.0876,0.436,6.76,1,0,0,188,0.3484
Sourceforge_4601.exe,0.4561,BENIGN,SUSPICIOUS,0.0276,0.0187,0.0715,0.0247,0.1543,0.0232,0.0237,0.0217,0.0693,0.0221,6.89,0,0,0,1,0.0472
Sourceforge_7719.exe,0.7,BENIGN,RANSOMWARE,0.0715,0.8366,0.0448,0.8222,0.1217,0.8578,0.1776,0.8216,0.1039,0.8345,7.5,0,0,0,1,0.7306
