file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
InstallOptions.dll,0.5168,BENIGN,SUSPICIOUS,0.1829,0.3441,0.1618,0.1251,0.2541,0.2078,0.2655,0.2589,0.2161,0.2339,5.47,1,0,0,80,0.0178
CNET_252100.exe,0.7,BENIGN,RANSOMWARE,0.2234,0.8937,0.1997,0.8209,0.1624,0.8559,0.1827,0.8202,0.192,0.8477,7.86,0,0,0,1,0.6556
secproc_isv.dll,0.6938,BENIGN,RANSOMWARE,0.3168,0.3381,0.2878,0.2574,0.3524,0.2539,0.2783,0.2589,0.3088,0.2771,7.0,0,0,0,138,0.0317
modemui.dll,0.7,BENIGN,RANSOMWARE,0.0737,0.894,0.0944,0.688,0.0514,0.773,0.1782,0.7495,0.0994,0.7761,5.84,0,0,0,166,0.6767
CNET_250657.exe,0.7,BENIGN,RANSOMWARE,0.027,0.0041,0.041,0.0077,0.0586,0.0077,0.0227,0.0056,0.0373,0.0063,6.09,0,1,0,1,0.031
Sourceforge_4547.exe,0.6604,BENIGN,RANSOMWARE,0.1596,0.2879,0.2851,0.2574,0.2909,0.2539,0.1626,0.2589,0.2246,0.2645,7.62,0,0,0,1,0.04
CNET_204657.exe,0.7,BENIGN,RANSOMWARE,0.0477,0.8259,0.0143,0.8195,0.0159,0.8559,0.0276,0.8211,0.0264,0.8306,6.66,0,0,0,1,0.8042
Sourceforge_6548_7221.exe,0.5782,BENIGN,SUSPICIOUS,0.2337,0.2879,0.1614,0.2574,0.304,0.2539,0.3263,0.2589,0.2564,0.2645,7.96,0,0,0,1,0.0082
CNET_104817.exe,0.7,BENIGN,RANSOMWARE,0.0611,0.8259,0.0118,0.8195,0.0679,0.8559,0.1277,0.8211,0.0671,0.8306,7.42,0,0,0,1,0.7635
AvLaunch.exe,0.5009,BENIGN,SUSPICIOUS,0.6946,0.0317,0.491,0.0063,0.6738,0.0062,0.5955,0.0221,0.6138,0.0166,6.64,0,0,0,323,0.5972
CNET_247893.exe,0.5239,BENIGN,SUSPICIOUS,0.3533,0.1676,0.1997,0.3034,0.2175,0.3343,0.221,0.2976,0.2479,0.2757,6.54,0,0,0,0,0.0279
CNET_10961.exe,0.7,BENIGN,RANSOMWARE,0.0347,0.8259,0.0113,0.8195,0.0155,0.8559,0.0201,0.8211,0.0204,0.8306,7.13,0,0,0,1,0.8102
softonic80.exe,0.7028,BENIGN,RANSOMWARE,0.1459,0.2879,0.4533,0.2752,0.2491,0.1866,0.1362,0.1593,0.2461,0.2273,7.63,0,0,0,1,0.0189
Sourceforge_2991.exe,0.7393,BENIGN,RANSOMWARE,0.1635,0.2879,0.2878,0.2574,0.3337,0.2539,0.1873,0.2589,0.243,0.2645,7.63,0,0,0,1,0.0215
Sourceforge_2011.exe,0.7,BENIGN,RANSOMWARE,0.0241,0.8259,0.0068,0.8195,0.0084,0.8559,0.0309,0.8211,0.0176,0.8306,7.49,0,0,0,1,0.813
unset.exe,0.7006,BENIGN,RANSOMWARE,0.7441,0.2428,0.6061,0.1353,0.5224,0.1592,0.6312,0.1983,0.626,0.1839,6.74,1,0,0,171,0.4421
Sourceforge_7714.exe,0.7,BENIGN,RANSOMWARE,0.1123,0.8259,0.0377,0.8195,0.1354,0.8559,0.1646,0.8211,0.1125,0.8306,7.5,0,0,0,1,0.7181
Sourceforge_7717.exe,0.7,BENIGN,RANSOMWARE,0.0916,0.8259,0.037,0.8195,0.0416,0.8559,0.0723,0.8211,0.0606,0.8306,7.89,0,0,0,1,0.77
CNET_20572.exe,0.6165,BENIGN,SUSPICIOUS,0.5107,0.2879,0.4157,0.2752,0.3377,0.1866,0.4436,0.1593,0.4269,0.2273,7.62,0,0,0,1,0.1997
Sourceforge_7719.exe,0.7,BENIGN,RANSOMWARE,0.1123,0.8259,0.0377,0.8195,0.1354,0.8559,0.1646,0.8211,0.1125,0.8306,7.5,0,0,0,1,0.7181
CNET_102372.exe,0.6285,BENIGN,SUSPICIOUS,0.2123,0.2879,0.2069,0.2574,0.3138,0.2539,0.2881,0.2589,0.2553,0.2645,7.79,0,0,0,1,0.0093
softonic62.exe,0.7933,BENIGN,RANSOMWARE,0.3003,0.9748,0.1997,0.8992,0.2291,0.9896,0.2562,0.994,0.2463,0.9644,7.29,1,0,0,13,0.718
vbajet32.dll,0.5828,BENIGN,SUSPICIOUS,0.2166,0.5432,0.0855,0.7593,0.0927,0.773,0.1937,0.7484,0.1471,0.706,4.73,0,0,0,50,0.5588
CNET_37589.exe,0.7117,BENIGN,RANSOMWARE,0.2366,0.2879,0.3998,0.2574,0.4527,0.2539,0.1626,0.2589,0.3129,0.2645,8.0,0,0,0,1,0.0484
racpldlg.dll,0.8256,BENIGN,RANSOMWARE,0.2658,0.2879,0.3103,0.3821,0.3478,0.401,0.1826,0.5086,0.2766,0.3949,7.07,0,0,0,285,0.1183
VBoxNine-x86.dll,0.7503,BENIGN,RANSOMWARE,0.2251,0.4071,0.143,0.474,0.1845,0.5549,0.2192,0.5084,0.1929,0.4861,5.03,1,0,0,96,0.2932
windows.storage.dll,0.5438,BENIGN,SUSPICIOUS,0.2895,0.0447,0.233,0.0197,0.2635,0.0237,0.0759,0.0359,0.2155,0.031,6.79,0,0,0,615,0.1844
t32_2870.exe,0.6466,BENIGN,SUSPICIOUS,0.6946,0.0873,0.2729,0.0955,0.4909,0.0918,0.4967,0.0923,0.4888,0.0917,6.11,0,0,0,78,0.3971
P2PGraph.dll,0.7,BENIGN,RANSOMWARE,0.0127,0.9193,0.0047,0.8302,0.0011,0.8559,0.0014,0.8282,0.005,0.8584,6.63,0,0,0,163,0.8534
Sourceforge_6786.exe,0.7028,BENIGN,RANSOMWARE,0.1459,0.2879,0.4533,0.2752,0.2491,0.1866,0.1362,0.1593,0.2461,0.2273,7.63,0,0,0,1,0.0189
softonic99.exe,0.5651,BENIGN,SUSPICIOUS,0.2096,0.1698,0.5472,0.1734,0.3684,0.1043,0.2012,0.1818,0.3316,0.1573,7.82,0,0,0,1,0.1743
elsTrans.dll,0.7,BENIGN,RANSOMWARE,0.0227,0.9193,0.0065,0.8302,0.0049,0.8559,0.006,0.8282,0.01,0.8584,5.85,0,0,0,59,0.8484
IntelWifiIhv06.dll,0.7,BENIGN,RANSOMWARE,0.0861,0.9193,0.1029,0.8302,0.1563,0.8559,0.3613,0.8282,0.1767,0.8584,6.23,0,0,0,69,0.6818
