file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,disagreement
d3b8d065f0ca36f76542d4f2d3f6a541d0b9c3bf20420f1714f64d27061c8885.exe,0.0175,MALWARE,0.0096,0.0179,0.0093,0.019,0.0094,0.0184,5.32,0,0,0,0.009
7faeb64c50cd15d036ca259a047d6c62ed491fff3729433fefba0b02c059d5ed.exe,0.0432,MALWARE,0.1729,0.2058,0.0341,0.187,0.1035,0.1964,5.83,0,0,0,0.0929
bc1f3016befc5953b692da01183fcddb9af7ff3b4ffc15f649bf4775b5bad2cd_8782.exe,0.2539,MALWARE,0.0625,0.0179,0.1287,0.019,0.0956,0.0184,6.52,0,0,0,0.0772
a16eecee6aa3bf02029cef722595b11c7d2088a02c4678cc23afb50badddfc5f.exe,0.0015,MALWARE,0.0072,0.0051,0.0097,0.0053,0.0084,0.0052,5.2,0,0,0,0.0033
36035b1a4995acb201c2b2160000d4477a31a2222c3f6bdc25a32d53d930bcfd.exe,0.1734,MALWARE,0.0457,0.0179,0.1254,0.019,0.0856,0.0184,6.81,0,0,0,0.0672
aedbddbf7494baaaf759a720d9cd17540d3c171b9cc52a02e0ef9a592bd9cd63.exe,0.3495,MALWARE,0.0686,0.0179,0.1277,0.019,0.0982,0.0184,7.34,0,0,0,0.0798
40126ae71b857dd22db39611c25d3d5dd0e60316b72830e930fba9baf23973ce.exe,0.0051,MALWARE,0.0048,0.0179,0.0037,0.019,0.0042,0.0184,4.59,0,0,0,0.0142
36ae29df569363f2ab310bbfab894f449c530f8b1f0320f42714cb26cd744750_3976.exe,0.1535,MALWARE,0.0494,0.0179,0.1276,0.019,0.0885,0.0184,5.01,0,0,0,0.07
ef2dfff6121e80e3fa88f86da7941f3e9a613f1ed43188be1d8df0a9b39c33cd.exe,0.0204,MALWARE,0.0161,0.0179,0.0073,0.0075,0.0117,0.0127,7.61,0,0,0,0.001
8dd283ca012e7a70a2673d2cc211c6a616ff23bc5bd3599a1da077ba946a044c.exe,0.2023,MALWARE,0.0193,0.3202,0.0238,0.4008,0.0215,0.3605,5.9,0,0,0,0.339
