file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,disagreement
devenv.exe,0.9154,BENIGN,0.8127,0.7967,0.6059,0.7685,0.7093,0.7826,6.38,0,0,0,0.0732
language.exe,0.9998,BENIGN,1.0,0.7071,1.0,0.9606,1.0,0.8339,7.42,0,0,0,0.1661
awk.exe,0.7,BENIGN,0.3554,0.4334,0.367,0.3304,0.3612,0.3819,6.29,0,0,0,0.0207
dialer.exe,0.7,BENIGN,0.0941,0.9674,0.0097,0.9009,0.0519,0.9342,5.59,1,0,0,0.8823
setreg.exe,0.7911,BENIGN,0.5143,0.3572,0.6702,0.3031,0.5923,0.3301,6.51,1,0,0,0.2621
SELFCERT.EXE,0.9751,BENIGN,0.8416,0.6987,0.9476,0.8926,0.8946,0.7957,7.2,0,0,0,0.0989
Sourceforge_187.exe,0.79,BENIGN,0.0375,0.3202,0.0822,0.4008,0.0598,0.3605,6.28,0,0,0,0.3007
jxbrowser-chromium.exe,0.7,BENIGN,0.4215,0.7483,0.3743,0.5654,0.3979,0.6568,5.88,0,0,0,0.2589
urlproxy.exe,0.7,BENIGN,0.6734,0.6987,0.57,0.5654,0.6217,0.6321,5.94,0,0,0,0.0103
CNET_233313.exe,0.7,BENIGN,0.0964,0.9633,0.0298,0.8831,0.0631,0.9232,4.99,1,0,0,0.8601
Sourceforge_6858.exe,0.81,BENIGN,0.2544,0.0179,0.6154,0.019,0.4349,0.0184,3.01,0,0,0,0.4165
Sourceforge_3056.exe,0.9996,BENIGN,1.0,0.6442,0.9891,0.7181,0.9945,0.6811,7.79,0,0,0,0.3134
Rar.exe,0.7,BENIGN,0.8483,0.2194,0.7524,0.0765,0.8003,0.148,6.4,1,0,0,0.6524
CNET_259964.exe,0.9892,BENIGN,0.8127,0.9883,0.5609,0.9988,0.6868,0.9936,6.07,0,0,0,0.3067
CNET_36743.exe,0.9998,BENIGN,0.997,1.0,1.0,0.9989,0.9985,0.9995,7.46,1,0,0,0.001
openssl.exe,0.9992,BENIGN,0.8771,0.6987,1.0,0.7277,0.9385,0.7132,6.63,0,0,0,0.2253
CNET_242346.exe,0.7106,BENIGN,0.1367,0.0179,0.4517,0.019,0.2942,0.0184,3.91,0,0,0,0.2758
Dashlane_Launcher.exe,0.9645,BENIGN,0.9545,0.4596,0.9426,0.2979,0.9485,0.3788,7.9,1,0,0,0.5698
CNET_103832.exe,0.867,BENIGN,0.0823,0.3202,0.1518,0.4008,0.117,0.3605,6.28,0,0,0,0.2435
