file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
Sourceforge_4363.exe,0.2329,BENIGN,RANSOMWARE,0.0322,0.2475,0.053,0.2358,0.0426,0.2417,7.55,0,0,0,1,0.199
1462.exe,0.2785,BENIGN,RANSOMWARE,0.1526,0.2475,0.2384,0.2358,0.1955,0.2417,7.74,0,0,0,1,0.0462
Sourceforge_187.exe,0.2995,BENIGN,RANSOMWARE,0.017,0.28,0.0275,0.3567,0.0223,0.3184,6.28,0,0,0,1,0.2961
edit.dll,0.7,BENIGN,RANSOMWARE,0.0245,0.7208,0.0161,0.8317,0.0203,0.7763,6.06,0,0,0,87,0.756
AVGBrowserCrashHandler64.exe,0.4585,BENIGN,RANSOMWARE,0.4083,0.1653,0.1608,0.2274,0.2846,0.1963,6.58,0,0,0,71,0.0883
Sourceforge_7170.exe,0.6455,BENIGN,RANSOMWARE,0.1048,0.0216,0.1837,0.0247,0.1443,0.0232,6.01,0,0,0,1,0.1211
CNET_34060.exe,0.2772,BENIGN,RANSOMWARE,0.4747,0.0605,0.2364,0.02,0.3555,0.0403,8.0,0,0,0,1,0.3153
CNET_212028.exe,0.2602,BENIGN,RANSOMWARE,0.0407,0.0216,0.1238,0.0247,0.0822,0.0232,6.16,0,0,0,1,0.0591
softonic18.exe,0.2951,BENIGN,RANSOMWARE,0.2226,0.0236,0.3018,0.0076,0.2622,0.0156,7.85,0,0,0,0,0.2466
CNET_22006.exe,0.3427,BENIGN,RANSOMWARE,0.0543,0.8483,0.0663,0.7621,0.0603,0.8052,7.65,0,0,0,1,0.7449
CNET_100796.exe,0.4063,BENIGN,RANSOMWARE,0.0209,0.0216,0.0757,0.0247,0.0483,0.0232,3.95,0,0,0,1,0.0251
MRT.exe,0.605,BENIGN,RANSOMWARE,0.5108,0.3255,0.2138,0.5101,0.3623,0.4178,7.53,0,0,0,275,0.0555
InputPersonalization.exe,0.7,BENIGN,RANSOMWARE,0.0089,0.8888,0.0155,0.766,0.0122,0.8274,6.06,0,0,0,265,0.8152
setreg.exe,0.6054,BENIGN,RANSOMWARE,0.4253,0.1988,0.5241,0.2113,0.4747,0.2051,6.51,1,0,0,51,0.2696
Sourceforge_190.exe,0.6574,BENIGN,RANSOMWARE,0.0461,0.0216,0.2265,0.0247,0.1363,0.0232,6.14,0,0,0,1,0.1132
CNET_43455.exe,0.8525,BENIGN,RANSOMWARE,0.5731,0.0605,0.46,0.02,0.5166,0.0403,8.0,0,0,0,1,0.4763
CNET_29769.exe,0.6604,BENIGN,RANSOMWARE,0.3952,0.0605,0.3294,0.02,0.3623,0.0403,7.96,0,0,0,1,0.322
Sourceforge_3579.exe,0.4292,BENIGN,RANSOMWARE,0.3314,0.2475,0.1012,0.2358,0.2163,0.2417,7.74,0,0,0,1,0.0254
SystemPropertiesDataExecutionPrevention.exe,0.2599,BENIGN,RANSOMWARE,0.1489,0.2475,0.1457,0.2358,0.1473,0.2417,7.12,0,0,0,28,0.0944
InstallOptions.dll,0.8928,BENIGN,RANSOMWARE,0.2831,0.2984,0.6261,0.2562,0.4546,0.2773,5.47,1,0,0,80,0.1773
CNET_242346.exe,0.8773,BENIGN,RANSOMWARE,0.1156,0.0216,0.3768,0.0247,0.2462,0.0232,3.91,0,0,0,1,0.223
Dashlane_Launcher.exe,0.9346,BENIGN,RANSOMWARE,0.849,0.2253,0.9003,0.1861,0.8746,0.2057,7.9,1,0,0,154,0.6689
1280.exe,0.3105,BENIGN,RANSOMWARE,0.1747,0.2475,0.2769,0.2358,0.2258,0.2417,7.85,0,0,0,1,0.0159
CNET_252100.exe,0.3081,BENIGN,RANSOMWARE,0.1843,0.8757,0.1667,0.7621,0.1755,0.8189,7.86,0,0,0,1,0.6433
Sourceforge_7542.exe,0.7,BENIGN,RANSOMWARE,0.0489,0.8483,0.0322,0.7621,0.0405,0.8052,7.88,0,0,0,1,0.7646
Microsoft.CertificateServices.PKIClient.Cmdlets.ni.dll,0.895,BENIGN,RANSOMWARE,0.6244,0.0236,0.36,0.0318,0.4922,0.0277,6.14,0,0,0,0,0.4645
2085.exe,0.6546,BENIGN,RANSOMWARE,0.1048,0.2475,0.3294,0.2358,0.2171,0.2417,7.6,0,0,0,1,0.0246
Sourceforge_344.exe,0.9594,BENIGN,RANSOMWARE,0.3641,0.0216,0.5651,0.0247,0.4646,0.0232,2.84,0,0,0,1,0.4414
Sourceforge_4459.exe,0.382,BENIGN,RANSOMWARE,0.3117,0.2475,0.247,0.2358,0.2793,0.2417,7.89,0,0,0,1,0.0377
CNET_5700.exe,0.2392,BENIGN,RANSOMWARE,0.0489,0.2475,0.0524,0.2358,0.0507,0.2417,7.85,0,0,0,1,0.191
CNET_100363.exe,0.3033,BENIGN,RANSOMWARE,0.0477,0.8483,0.0671,0.7621,0.0574,0.8052,7.53,0,0,0,1,0.7477
CNET_203203.exe,0.3505,BENIGN,RANSOMWARE,0.3787,0.2475,0.0913,0.2358,0.235,0.2417,7.71,0,0,0,1,0.0066
MicrosoftEdgeUpdateSetup.exe,0.4122,BENIGN,RANSOMWARE,0.5537,0.1501,0.2331,0.0657,0.3934,0.1079,7.93,0,0,0,142,0.2855
Sourceforge_7313.exe,0.7542,BENIGN,RANSOMWARE,0.165,0.0216,0.2278,0.0247,0.1964,0.0232,7.23,0,0,0,1,0.1732
snxhk.dll,0.8001,BENIGN,RANSOMWARE,0.4783,0.1653,0.3614,0.2274,0.4199,0.1963,5.96,0,0,0,115,0.2236
Sourceforge_2538.exe,0.6177,BENIGN,RANSOMWARE,0.1656,0.0216,0.2131,0.0247,0.1893,0.0232,7.13,0,0,0,1,0.1662
Sourceforge_7351.exe,0.2995,BENIGN,RANSOMWARE,0.017,0.28,0.0275,0.3567,0.0223,0.3184,6.28,0,0,0,1,0.2961
Microsoft.WindowsAuthenticationProtocols.Commands.ni.dll,0.9279,BENIGN,RANSOMWARE,0.6713,0.0236,0.6012,0.0318,0.6363,0.0277,5.97,0,0,0,0,0.6086
CNET_21971.exe,0.2761,BENIGN,RANSOMWARE,0.0165,0.28,0.0125,0.3567,0.0145,0.3184,6.46,0,0,0,1,0.3039
Sourceforge_2276.exe,0.5753,BENIGN,RANSOMWARE,0.0407,0.0216,0.1652,0.0247,0.103,0.0232,5.44,0,0,0,1,0.0798
Sourceforge_3513.exe,0.6918,BENIGN,RANSOMWARE,0.0314,0.0216,0.1398,0.0247,0.0856,0.0232,4.25,0,0,0,1,0.0624
CNET_256343.exe,0.2425,BENIGN,RANSOMWARE,0.0191,0.0236,0.0524,0.0318,0.0358,0.0277,4.99,0,0,0,0,0.008
windows.cortana.onecore.dll,0.7,BENIGN,RANSOMWARE,0.0075,0.9273,0.0,0.7544,0.0038,0.8409,6.24,0,0,0,205,0.8371
git-bash.exe,0.5182,BENIGN,RANSOMWARE,0.3321,0.2253,0.322,0.3233,0.3271,0.2743,7.55,0,0,0,86,0.0528
cookie_exporter.exe,0.2283,BENIGN,RANSOMWARE,0.0721,0.1653,0.1294,0.2274,0.1007,0.1963,6.13,0,0,0,76,0.0956
gdbserver.exe,0.2268,BENIGN,RANSOMWARE,0.1248,0.4664,0.0585,0.3184,0.0916,0.3924,6.36,0,0,0,154,0.3008
Sourceforge_3362.exe,0.5585,BENIGN,RANSOMWARE,0.2362,0.2253,0.2901,0.1602,0.2631,0.1927,5.35,0,0,0,57,0.0704
