file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
resutils.dll,0.7,BENIGN,RANSOMWARE,0.0154,0.8674,0.0061,0.9035,0.0042,0.8273,0.0398,0.9084,0.0164,0.8766,6.62,0,0,0,227,0.8603
edit.dll,0.7,BENIGN,RANSOMWARE,0.0794,0.6598,0.0069,0.8979,0.01,0.9136,0.1608,0.8529,0.0643,0.8311,6.06,0,0,0,87,0.7668
InstallOptions.dll,0.6663,BENIGN,RANSOMWARE,0.322,0.3118,0.4545,0.2537,0.5089,0.2438,0.4911,0.373,0.4441,0.2956,5.47,1,0,0,80,0.1485
CNET_252100.exe,0.9577,BENIGN,RANSOMWARE,0.5719,0.9236,0.7712,0.8946,0.65,0.8921,0.2707,0.864,0.5659,0.8936,7.86,0,0,0,1,0.3276
windows.cortana.onecore.dll,0.7,BENIGN,RANSOMWARE,0.005,0.9419,0.0,0.7951,0.0011,0.8921,0.0,0.9166,0.0015,0.8864,6.24,0,0,0,205,0.8849
modemui.dll,0.7,BENIGN,RANSOMWARE,0.0886,0.9328,0.1958,0.8436,0.0822,0.8832,0.5138,0.889,0.2201,0.8872,5.84,0,0,0,166,0.6671
CNET_250657.exe,0.7,BENIGN,RANSOMWARE,0.0214,0.0041,0.0831,0.0075,0.0915,0.0062,0.0354,0.0032,0.0578,0.0052,6.09,0,1,0,1,0.0526
tapi32.dll,0.7,BENIGN,RANSOMWARE,0.0057,0.7272,0.0071,0.8076,0.0048,0.8273,0.0354,0.9216,0.0132,0.8209,6.63,0,0,0,152,0.8077
esevss.dll,0.7,BENIGN,RANSOMWARE,0.0055,0.8982,0.0048,0.5831,0.0027,0.7265,0.0131,0.8777,0.0065,0.7714,5.98,0,0,0,46,0.7649
wuuhext.dll,0.7,BENIGN,RANSOMWARE,0.0154,0.7924,0.0034,0.8911,0.0042,0.9332,0.0246,0.936,0.0119,0.8882,6.01,0,0,0,247,0.8763
CNET_204657.exe,0.7,BENIGN,RANSOMWARE,0.0195,0.8982,0.0333,0.8835,0.0088,0.8921,0.0671,0.864,0.0322,0.8844,6.66,0,0,0,1,0.8523
CNET_104817.exe,0.7,BENIGN,RANSOMWARE,0.0153,0.8982,0.0341,0.8835,0.0532,0.8921,0.0788,0.864,0.0454,0.8844,7.42,0,0,0,1,0.8391
MSASCui.exe,0.6158,BENIGN,RANSOMWARE,0.3861,0.2344,0.2844,0.1805,0.351,0.105,0.4492,0.5566,0.3677,0.2691,6.29,0,0,0,608,0.0985
Sourceforge_4546.exe,0.586,BENIGN,SUSPICIOUS,0.0358,0.0175,0.3381,0.0212,0.1337,0.0209,0.0287,0.0183,0.1341,0.0195,6.15,0,0,0,1,0.1146
CNET_247893.exe,0.722,BENIGN,RANSOMWARE,0.8067,0.2344,0.5127,0.322,0.3758,0.3681,0.3695,0.191,0.5162,0.2789,6.54,0,0,0,0,0.2373
vmrun.exe,0.7,BENIGN,RANSOMWARE,0.1372,0.5829,0.0461,0.8076,0.0519,0.6798,0.139,0.943,0.0936,0.7534,6.26,0,0,0,232,0.6598
pid.dll,0.9468,BENIGN,RANSOMWARE,0.2326,0.3118,0.8937,0.2537,0.8731,0.2444,0.9002,0.2907,0.7249,0.2752,5.43,0,0,0,86,0.4498
CNET_10961.exe,0.7,BENIGN,RANSOMWARE,0.0403,0.8982,0.0129,0.8835,0.0145,0.8921,0.0474,0.864,0.0288,0.8844,7.13,0,0,0,1,0.8557
printenvz.exe,0.6524,BENIGN,RANSOMWARE,0.4163,0.0493,0.6314,0.0412,0.6078,0.0417,0.8446,0.0603,0.625,0.0481,6.41,0,0,0,76,0.5769
wsc_proxy.exe,0.9857,BENIGN,RANSOMWARE,0.8634,0.0175,0.9705,0.0023,0.9719,0.0021,0.9649,0.0132,0.9427,0.0088,7.4,0,0,0,8,0.9339
ShaderCompiler.exe,0.6657,BENIGN,RANSOMWARE,0.1229,0.3057,0.2967,0.322,0.2165,0.2444,0.5412,0.4622,0.2943,0.3336,6.5,0,0,0,141,0.0392
Sourceforge_2991.exe,0.5184,BENIGN,SUSPICIOUS,0.1239,0.2683,0.2933,0.2537,0.2671,0.2444,0.113,0.2801,0.1993,0.2616,7.63,0,0,0,1,0.0623
Sourceforge_2011.exe,0.7,BENIGN,RANSOMWARE,0.0127,0.8982,0.0043,0.8835,0.0067,0.8921,0.0546,0.864,0.0196,0.8844,7.49,0,0,0,1,0.8649
Sourceforge_3892.exe,0.5373,BENIGN,SUSPICIOUS,0.0936,0.0175,0.2709,0.0212,0.1475,0.0209,0.0153,0.0183,0.1318,0.0195,4.08,0,0,0,1,0.1123
softonic148.exe,0.7,BENIGN,RANSOMWARE,0.0195,0.6061,0.0063,0.8047,0.0142,0.8185,0.0788,0.8855,0.0297,0.7787,7.93,0,0,0,1,0.749
inject_dll_x86.exe,0.6521,BENIGN,RANSOMWARE,0.4623,0.0493,0.5497,0.0412,0.4303,0.0417,0.8897,0.0603,0.583,0.0481,6.59,0,0,0,87,0.5349
txflog.dll,0.7,BENIGN,RANSOMWARE,0.13,0.8982,0.0287,0.798,0.0268,0.6894,0.1658,0.9224,0.0878,0.827,6.43,1,0,0,126,0.7392
