file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
002b98b0bb7c65414327845f1c7324cfd80add0746a89994844e9ca7b2dfaee9.exe,0.5601,MALWARE,SUSPICIOUS,0.3611,0.2222,0.1785,0.2546,0.2698,0.2384,5.85,0,0,0,51,0.0314
6a844a3775a9a5076103f52bf847087aeb18f7d06d84a5f0dfff13ca65f9ddd1.exe,0.6746,MALWARE,SUSPICIOUS,0.6211,0.1899,0.4626,0.2899,0.5419,0.2399,5.57,0,0,0,0,0.302
f70966e32d18a1e2ed51ebdcc6b985d8f7613febf0680639076c71ebeab6a350.exe,0.6647,MALWARE,SUSPICIOUS,0.0144,0.2824,0.0281,0.3543,0.0212,0.3184,5.48,0,0,0,1,0.2971
171c9a82171f9092fbc4b9d80af92448c9d2b6ebe00e14ceef0e5259b92578c7_9222.exe,0.4791,MALWARE,BENIGN,0.3883,0.242,0.1934,0.2268,0.2908,0.2344,7.63,0,0,0,1,0.0564
aedbddbf7494baaaf759a720d9cd17540d3c171b9cc52a02e0ef9a592bd9cd63.exe,0.4087,MALWARE,BENIGN,0.0683,0.0216,0.158,0.0243,0.1131,0.0229,7.34,0,0,0,1,0.0902
33c861023479ddcaea82f2daee9d0394f304d0c33ba210f4c3c53a93cf9a474c.exe,0.562,MALWARE,SUSPICIOUS,0.1386,0.242,0.1601,0.2268,0.1494,0.2344,7.84,0,0,0,1,0.085
a16eecee6aa3bf02029cef722595b11c7d2088a02c4678cc23afb50badddfc5f.exe,0.6257,MALWARE,SUSPICIOUS,0.0662,0.0059,0.3373,0.0073,0.2017,0.0066,5.2,0,0,0,1,0.1952
2bcc8e7439a0170a9adb90d9deeec8675027ac39509a8aea8494700abbdb37b8.exe,0.6247,MALWARE,SUSPICIOUS,0.7993,0.1245,0.5865,0.0323,0.6929,0.0784,7.23,1,0,0,150,0.6145
VirusShare_122ddeb6b3879d9857689fcac2734267.exe,0.3951,MALWARE,BENIGN,0.1737,0.9192,0.1608,0.6821,0.1673,0.8007,6.75,0,0,0,155,0.6334
4a843cec82d350fe81db4cfbe43ee13dd69584a2031f362d523ac0ebc08a0fa9.dll,0.672,MALWARE,SUSPICIOUS,0.5378,0.0059,0.4044,0.0073,0.4711,0.0066,7.15,0,0,0,1,0.4646
