file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
Sourceforge_7717.exe,0.7,BENIGN,RANSOMWARE,0.0672,0.7969,0.0309,0.7966,0.049,0.7968,7.89,0,0,0,1,0.7477
2085.exe,0.6144,BENIGN,SUSPICIOUS,0.1228,0.2519,0.1981,0.2465,0.1604,0.2492,7.6,0,0,0,1,0.0888
TeamViewer_Note.exe,0.5958,BENIGN,SUSPICIOUS,0.5646,0.1079,0.5007,0.1575,0.5326,0.1327,5.31,0,0,0,105,0.3999
2311.exe,0.7183,BENIGN,RANSOMWARE,0.0315,0.0201,0.1641,0.021,0.0978,0.0205,1.54,0,0,0,1,0.0773
Sourceforge_7771.exe,0.8445,BENIGN,RANSOMWARE,0.0061,0.329,0.0232,0.449,0.0147,0.389,5.23,0,0,0,1,0.3744
Sourceforge_6088.exe,0.6749,BENIGN,SUSPICIOUS,0.147,0.2519,0.3347,0.2465,0.2408,0.2492,7.92,0,0,0,1,0.0084
CNET_254911.exe,0.5645,BENIGN,SUSPICIOUS,0.196,0.0055,0.2981,0.0058,0.2471,0.0057,6.95,0,0,0,1,0.2414
Sourceforge_5662.exe,0.7,BENIGN,RANSOMWARE,0.0672,0.7969,0.0309,0.7966,0.049,0.7968,7.89,0,0,0,1,0.7477
limits.exe,0.7,BENIGN,RANSOMWARE,0.3959,0.329,0.3427,0.3803,0.3693,0.3547,7.18,1,0,0,64,0.0146
Sourceforge_7687.exe,0.7,BENIGN,RANSOMWARE,0.1137,0.7969,0.04,0.7966,0.0768,0.7968,7.69,0,0,0,1,0.7199
Sourceforge_7193.exe,0.6552,BENIGN,SUSPICIOUS,0.0127,0.329,0.0048,0.449,0.0087,0.389,6.74,0,0,0,1,0.3803
PSEditor.exe,0.7,BENIGN,RANSOMWARE,0.0544,0.9394,0.0172,0.7791,0.0358,0.8592,6.5,1,0,0,307,0.8234
CNET_10961.exe,0.7,BENIGN,RANSOMWARE,0.0427,0.7969,0.0128,0.7966,0.0278,0.7968,7.13,0,0,0,1,0.769
CNET_241652.exe,0.8191,BENIGN,RANSOMWARE,0.5039,0.0201,0.6699,0.009,0.5869,0.0146,5.29,0,0,0,0,0.5724
Sourceforge_45.exe,0.603,BENIGN,SUSPICIOUS,0.0466,0.0201,0.1892,0.021,0.1179,0.0205,4.5,0,0,0,1,0.0974
CNET_237179.exe,0.7,BENIGN,RANSOMWARE,0.0427,0.0008,0.0395,0.0,0.0411,0.0004,6.13,0,1,0,0,0.0408
CNET_204652.exe,0.7,BENIGN,RANSOMWARE,0.0383,0.7969,0.0158,0.7966,0.027,0.7968,7.55,0,0,0,1,0.7697
CNET_45323.exe,0.7,BENIGN,RANSOMWARE,0.0672,0.7969,0.0374,0.7966,0.0523,0.7968,7.73,0,0,0,1,0.7445
CNET_104817.exe,0.7,BENIGN,RANSOMWARE,0.0447,0.7969,0.04,0.7966,0.0424,0.7968,7.42,0,0,0,1,0.7544
mip.exe,0.7,BENIGN,RANSOMWARE,0.0873,0.9755,0.0238,0.9347,0.0556,0.9551,6.62,0,0,0,477,0.8995
CNET_102697.exe,0.5999,BENIGN,SUSPICIOUS,0.1228,0.2519,0.1137,0.2465,0.1183,0.2492,7.63,0,0,0,1,0.131
softonic110.exe,0.7077,BENIGN,RANSOMWARE,0.3062,0.0099,0.7103,0.0058,0.5083,0.0078,6.78,0,0,0,0,0.5005
armsvc.exe,0.5625,BENIGN,SUSPICIOUS,0.2295,0.655,0.1722,0.3167,0.2008,0.4858,6.14,0,0,0,170,0.285
Sourceforge_2182.exe,0.7212,BENIGN,RANSOMWARE,0.1654,0.0201,0.3118,0.021,0.2386,0.0205,6.18,0,0,0,1,0.218
rrinstaller.exe,0.7,BENIGN,RANSOMWARE,0.0663,0.9755,0.0361,0.9347,0.0512,0.9551,6.22,0,0,0,128,0.9039
openssl.exe,0.7,BENIGN,RANSOMWARE,0.3959,0.3834,0.3942,0.3278,0.395,0.3556,6.63,0,0,0,125,0.0394
language.exe,0.7,BENIGN,RANSOMWARE,0.4791,0.4129,0.4657,0.352,0.4724,0.3824,7.42,0,0,0,113,0.09
CNET_17848.exe,0.7022,BENIGN,RANSOMWARE,0.1228,0.2519,0.171,0.3416,0.1469,0.2968,7.15,0,0,0,1,0.1499
Windows_33.exe,0.7,BENIGN,RANSOMWARE,0.0542,0.0132,0.064,0.0138,0.0591,0.0135,6.06,0,1,0,1,0.0456
CNET_222075.exe,0.6505,BENIGN,SUSPICIOUS,0.1228,0.2519,0.1503,0.2465,0.1366,0.2492,7.6,0,0,0,1,0.1127
