file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
resutils.dll,0.7,BENIGN,RANSOMWARE,0.032,0.9235,0.0051,0.8584,0.0037,0.852,0.0116,0.907,0.0131,0.8852,6.62,0,0,0,227,0.8721
edit.dll,0.7,BENIGN,RANSOMWARE,0.099,0.5959,0.012,0.8927,0.0175,0.9147,0.0632,0.8273,0.0479,0.8077,6.06,0,0,0,87,0.7597
InstallOptions.dll,0.53,BENIGN,SUSPICIOUS,0.2801,0.4527,0.5054,0.1391,0.4048,0.243,0.5923,0.2641,0.4456,0.2747,5.47,1,0,0,80,0.1709
CNET_252100.exe,0.8414,BENIGN,RANSOMWARE,0.524,0.8987,0.6455,0.8926,0.5446,0.9028,0.3764,0.8684,0.5226,0.8906,7.86,0,0,0,1,0.368
windows.cortana.onecore.dll,0.7,BENIGN,RANSOMWARE,0.0065,0.9545,0.0,0.7993,0.0006,0.8628,0.0,0.8684,0.0018,0.8712,6.24,0,0,0,205,0.8695
modemui.dll,0.7,BENIGN,RANSOMWARE,0.1169,0.9375,0.1267,0.7799,0.1433,0.9028,0.3724,0.8684,0.1898,0.8721,5.84,0,0,0,166,0.6823
tapi32.dll,0.7,BENIGN,RANSOMWARE,0.0101,0.9235,0.0067,0.8148,0.0058,0.8451,0.0023,0.8684,0.0062,0.8629,6.63,0,0,0,152,0.8567
wuuhext.dll,0.7,BENIGN,RANSOMWARE,0.0311,0.883,0.0057,0.8584,0.0037,0.9309,0.0042,0.9267,0.0112,0.8997,6.01,0,0,0,247,0.8886
CNET_204657.exe,0.7,BENIGN,RANSOMWARE,0.061,0.8908,0.0267,0.8721,0.0112,0.9028,0.0251,0.8684,0.031,0.8835,6.66,0,0,0,1,0.8525
CNET_104817.exe,0.7,BENIGN,RANSOMWARE,0.0587,0.8908,0.0211,0.8721,0.0708,0.9028,0.133,0.8684,0.0709,0.8835,7.42,0,0,0,1,0.8126
MSASCui.exe,0.5257,BENIGN,SUSPICIOUS,0.228,0.274,0.2877,0.0951,0.3194,0.064,0.3401,0.2628,0.2938,0.174,6.29,0,0,0,608,0.1198
CNET_247893.exe,0.8053,BENIGN,RANSOMWARE,0.7738,0.1668,0.5064,0.3063,0.5833,0.3496,0.5145,0.2766,0.5945,0.2748,6.54,0,0,0,0,0.3197
vmrun.exe,0.7,BENIGN,RANSOMWARE,0.2152,0.6431,0.0681,0.8868,0.0699,0.7528,0.0956,0.8684,0.1122,0.7878,6.26,0,0,0,232,0.6755
pid.dll,0.9828,BENIGN,RANSOMWARE,0.2179,0.4527,0.9564,0.2473,0.8957,0.243,0.8997,0.2628,0.7425,0.3014,5.43,0,0,0,86,0.441
CNET_10961.exe,0.7,BENIGN,RANSOMWARE,0.0375,0.8908,0.0164,0.8721,0.0217,0.9028,0.0116,0.8684,0.0218,0.8835,7.13,0,0,0,1,0.8617
printenvz.exe,0.783,BENIGN,RANSOMWARE,0.6351,0.0754,0.4346,0.0999,0.5881,0.0417,0.5759,0.0333,0.5584,0.0626,6.41,0,0,0,76,0.4959
wsc_proxy.exe,0.7137,BENIGN,RANSOMWARE,0.8329,0.0177,0.962,0.0033,0.9452,0.002,0.9861,0.0058,0.9315,0.0072,7.4,0,0,0,8,0.9243
