file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
resutils.dll,0.7,BENIGN,RANSOMWARE,0.0478,0.8842,0.0049,0.858,0.0061,0.8428,0.0189,0.8711,0.0194,0.864,6.62,0,0,0,227,0.8446
edit.dll,0.7,BENIGN,RANSOMWARE,0.0757,0.5185,0.007,0.8685,0.0093,0.9403,0.0663,0.774,0.0396,0.7753,6.06,0,0,0,87,0.7357
CNET_29769.exe,0.6235,BENIGN,SUSPICIOUS,0.2051,0.0551,0.2802,0.0178,0.2666,0.019,0.1428,0.021,0.2237,0.0282,7.96,0,0,0,1,0.1955
InstallOptions.dll,0.78,BENIGN,RANSOMWARE,0.2685,0.5041,0.4418,0.1768,0.4568,0.1873,0.6765,0.4265,0.4609,0.3237,5.47,1,0,0,80,0.1372
CNET_252100.exe,0.7,BENIGN,RANSOMWARE,0.1989,0.8961,0.2205,0.8412,0.255,0.8584,0.2521,0.8216,0.2316,0.8543,7.86,0,0,0,1,0.6227
windows.cortana.onecore.dll,0.7,BENIGN,RANSOMWARE,0.0044,0.928,0.0,0.7404,0.0,0.8428,0.0,0.8216,0.0011,0.8332,6.24,0,0,0,205,0.8321
modemui.dll,0.7,BENIGN,RANSOMWARE,0.0688,0.9121,0.0409,0.7404,0.0302,0.7817,0.4264,0.8456,0.1416,0.82,5.84,0,0,0,166,0.6784
CNET_250657.exe,0.7,BENIGN,RANSOMWARE,0.0353,0.0038,0.0313,0.007,0.0339,0.0062,0.0274,0.0051,0.032,0.0055,6.09,0,1,0,1,0.0264
tapi32.dll,0.7,BENIGN,RANSOMWARE,0.0094,0.8799,0.0049,0.6509,0.0064,0.8424,0.0207,0.9084,0.0104,0.8204,6.63,0,0,0,152,0.81
esevss.dll,0.7,BENIGN,RANSOMWARE,0.0092,0.8974,0.0041,0.804,0.0019,0.8428,0.0067,0.6176,0.0055,0.7905,5.98,0,0,0,46,0.785
wuuhext.dll,0.7,BENIGN,RANSOMWARE,0.0307,0.9016,0.0051,0.858,0.0048,0.9593,0.0027,0.9417,0.0108,0.9151,6.01,0,0,0,247,0.9043
CNET_204657.exe,0.7,BENIGN,RANSOMWARE,0.0436,0.8582,0.0099,0.8316,0.0214,0.8428,0.0422,0.8132,0.0293,0.8365,6.66,0,0,0,1,0.8072
getprocaddr32.exe,0.6125,BENIGN,SUSPICIOUS,0.0753,0.0811,0.2989,0.2457,0.3257,0.1482,0.1833,0.173,0.2208,0.162,6.01,0,0,0,71,0.0588
Sourceforge_7406.exe,0.5589,BENIGN,SUSPICIOUS,0.0117,0.018,0.2584,0.0243,0.1153,0.0242,0.0154,0.0204,0.1002,0.0217,5.27,0,0,0,1,0.0785
CNET_104817.exe,0.7,BENIGN,RANSOMWARE,0.0324,0.8582,0.0102,0.8316,0.028,0.8428,0.148,0.8132,0.0546,0.8365,7.42,0,0,0,1,0.7818
windows.networking.backgroundtransfer.dll,0.5486,BENIGN,SUSPICIOUS,0.1514,0.5041,0.0609,0.622,0.031,0.6781,0.1212,0.5709,0.0911,0.5938,6.74,1,0,0,212,0.5026
Sourceforge_4546.exe,0.5439,BENIGN,SUSPICIOUS,0.0542,0.018,0.2919,0.0243,0.2153,0.0242,0.1283,0.0204,0.1724,0.0217,6.15,0,0,0,1,0.1507
CNET_247893.exe,0.9223,BENIGN,RANSOMWARE,0.7112,0.1677,0.5831,0.301,0.3867,0.367,0.4183,0.3574,0.5248,0.2983,6.54,0,0,0,0,0.2265
vmrun.exe,0.7,BENIGN,RANSOMWARE,0.2292,0.6692,0.0941,0.7129,0.066,0.9113,0.1175,0.9401,0.1267,0.8084,6.26,0,0,0,232,0.6817
pid.dll,0.9481,BENIGN,RANSOMWARE,0.269,0.3222,0.9082,0.2486,0.8251,0.2484,0.9371,0.2695,0.7349,0.2722,5.43,0,0,0,86,0.4627
CNET_10961.exe,0.7,BENIGN,RANSOMWARE,0.0353,0.8582,0.0274,0.8316,0.0239,0.8428,0.0154,0.8132,0.0255,0.8365,7.13,0,0,0,1,0.8109
printenvz.exe,0.8188,BENIGN,RANSOMWARE,0.6802,0.059,0.4865,0.0924,0.5859,0.0531,0.6582,0.0378,0.6027,0.0606,6.41,0,0,0,76,0.5421
wsc_proxy.exe,0.7265,BENIGN,RANSOMWARE,0.7756,0.018,0.8762,0.0021,0.9549,0.0047,0.9952,0.0082,0.9005,0.0082,7.4,0,0,0,8,0.8922
ShaderCompiler.exe,0.7266,BENIGN,RANSOMWARE,0.1664,0.3315,0.2855,0.2486,0.3393,0.2484,0.4588,0.3179,0.3125,0.2866,6.5,0,0,0,141,0.0259
