file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
Sourceforge_7717.exe,0.7,BENIGN,RANSOMWARE,0.0627,0.8007,0.0178,0.7957,0.0402,0.7982,7.89,0,0,0,1,0.758
2085.exe,0.4388,BENIGN,SUSPICIOUS,0.0978,0.2663,0.1609,0.2515,0.1294,0.2589,7.6,0,0,0,1,0.1295
Sourceforge_7812.exe,0.4346,BENIGN,SUSPICIOUS,0.0889,0.2663,0.046,0.2515,0.0674,0.2589,7.56,0,0,0,1,0.1914
Sourceforge_6479.exe,0.486,BENIGN,SUSPICIOUS,0.0213,0.3205,0.0124,0.4618,0.0168,0.3912,6.22,0,0,0,1,0.3743
Sourceforge_5019.exe,0.5023,BENIGN,SUSPICIOUS,0.105,0.0207,0.2219,0.0214,0.1634,0.0211,6.93,0,0,0,1,0.1424
Sourceforge_5086.exe,0.5654,BENIGN,SUSPICIOUS,0.1067,0.0207,0.2284,0.0214,0.1676,0.0211,7.04,0,0,0,1,0.1465
CNET_102372.exe,0.5761,BENIGN,SUSPICIOUS,0.1037,0.2663,0.1302,0.2515,0.1169,0.2589,7.79,0,0,0,1,0.142
Sourceforge_7771.exe,0.6893,BENIGN,RANSOMWARE,0.0081,0.3205,0.0215,0.4618,0.0148,0.3912,5.23,0,0,0,1,0.3763
ORGCHART.EXE,0.5891,BENIGN,SUSPICIOUS,0.79,0.4825,0.4538,0.2672,0.6219,0.3748,6.57,1,0,0,221,0.2471
Sourceforge_6088.exe,0.834,BENIGN,RANSOMWARE,0.1391,0.2663,0.3629,0.2515,0.251,0.2589,7.92,0,0,0,1,0.0079
Sourceforge_5662.exe,0.7,BENIGN,RANSOMWARE,0.0627,0.8007,0.0178,0.7957,0.0402,0.7982,7.89,0,0,0,1,0.758
gui-64.exe,0.4697,BENIGN,SUSPICIOUS,0.1437,0.8007,0.1335,0.6274,0.1386,0.7141,6.11,0,0,0,81,0.5755
limits.exe,0.644,BENIGN,RANSOMWARE,0.3969,0.3774,0.3403,0.3611,0.3686,0.3692,7.18,1,0,0,64,0.0006
CNET_259827.exe,0.4336,BENIGN,SUSPICIOUS,0.1685,0.0039,0.2609,0.0049,0.2147,0.0044,6.17,0,0,0,1,0.2103
Sourceforge_7687.exe,0.7,BENIGN,RANSOMWARE,0.1017,0.8007,0.0365,0.7957,0.0691,0.7982,7.69,0,0,0,1,0.7292
PSEditor.exe,0.7,BENIGN,RANSOMWARE,0.0559,0.9249,0.008,0.767,0.0319,0.8459,6.5,1,0,0,307,0.814
Sourceforge_5466.exe,0.4538,BENIGN,SUSPICIOUS,0.0926,0.2663,0.0363,0.2515,0.0644,0.2589,7.71,0,0,0,1,0.1944
CNET_10961.exe,0.7,BENIGN,RANSOMWARE,0.0415,0.8007,0.015,0.7957,0.0282,0.7982,7.13,0,0,0,1,0.77
CNET_261513.exe,0.4572,BENIGN,SUSPICIOUS,0.1078,0.2663,0.1272,0.367,0.1175,0.3166,7.97,0,0,0,1,0.1991
2130.exe,0.6685,BENIGN,RANSOMWARE,0.0917,0.0207,0.1966,0.0214,0.1441,0.0211,6.17,0,0,0,1,0.1231
CNET_241652.exe,0.5722,BENIGN,SUSPICIOUS,0.4178,0.0254,0.6782,0.0049,0.548,0.0152,5.29,0,0,0,0,0.5328
Sourceforge_45.exe,0.5964,BENIGN,SUSPICIOUS,0.0565,0.0207,0.302,0.0214,0.1793,0.0211,4.5,0,0,0,1,0.1582
CNET_237179.exe,0.7,BENIGN,RANSOMWARE,0.0515,0.0027,0.0287,0.0,0.0401,0.0014,6.13,0,1,0,0,0.0387
CNET_204652.exe,0.7,BENIGN,RANSOMWARE,0.0213,0.8007,0.0124,0.7957,0.0168,0.7982,7.55,0,0,0,1,0.7814
119.exe,0.4761,BENIGN,SUSPICIOUS,0.1078,0.2663,0.1193,0.2515,0.1136,0.2589,7.98,0,0,0,1,0.1453
CNET_45323.exe,0.7,BENIGN,RANSOMWARE,0.0926,0.8007,0.0615,0.7957,0.0771,0.7982,7.73,0,0,0,1,0.7211
