file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
resutils.dll,0.7,BENIGN,RANSOMWARE,0.0173,0.8497,0.0041,0.7608,0.0107,0.8053,6.62,0,0,0,227,0.7946
edit.dll,0.7,BENIGN,RANSOMWARE,0.0362,0.7216,0.0113,0.8533,0.0237,0.7875,6.06,0,0,0,87,0.7637
rjvclassicapp.dll,0.7,BENIGN,RANSOMWARE,0.0047,0.8179,0.0,0.7779,0.0024,0.7979,6.36,0,0,0,282,0.7955
CNET_22006.exe,0.7,BENIGN,RANSOMWARE,0.0404,0.8497,0.058,0.7608,0.0492,0.8053,7.65,0,0,0,1,0.7561
InputPersonalization.exe,0.7,BENIGN,RANSOMWARE,0.0053,0.8754,0.0043,0.7776,0.0048,0.8265,6.06,0,0,0,265,0.8217
Sourceforge_190.exe,0.5514,BENIGN,SUSPICIOUS,0.0545,0.0176,0.2429,0.0204,0.1487,0.019,6.14,0,0,0,1,0.1297
msjtes40.dll,0.8205,BENIGN,RANSOMWARE,0.2527,0.2586,0.461,0.2465,0.3568,0.2526,6.15,0,0,0,118,0.1043
CNET_252100.exe,0.7,BENIGN,RANSOMWARE,0.2376,0.8779,0.1574,0.7608,0.1975,0.8194,7.86,0,0,0,1,0.6219
Sourceforge_7542.exe,0.7,BENIGN,RANSOMWARE,0.035,0.8497,0.0309,0.7608,0.0329,0.8053,7.88,0,0,0,1,0.7723
CNET_100363.exe,0.7,BENIGN,RANSOMWARE,0.0354,0.8497,0.0739,0.7608,0.0547,0.8053,7.53,0,0,0,1,0.7506
rrinstaller_2074.exe,0.7,BENIGN,RANSOMWARE,0.0023,0.9138,0.0016,0.7569,0.0019,0.8353,6.22,0,0,0,128,0.8334
git-bash.exe,0.8715,BENIGN,RANSOMWARE,0.2957,0.2235,0.3015,0.3832,0.2986,0.3033,7.55,0,0,0,86,0.0047
NVDisplay.Container.exe,0.728,BENIGN,RANSOMWARE,0.596,0.1356,0.6619,0.1511,0.6289,0.1434,6.63,0,0,0,137,0.4856
windows.media.ocr.dll,0.7,BENIGN,RANSOMWARE,0.0058,0.8414,0.0035,0.7779,0.0047,0.8096,6.79,0,0,0,247,0.8049
ResBParser.dll,0.7318,BENIGN,RANSOMWARE,0.2556,0.2235,0.351,0.3142,0.3033,0.2689,6.02,0,0,0,74,0.0345
msedge.dll,0.7,BENIGN,RANSOMWARE,0.065,0.0222,0.0444,0.0286,0.0547,0.0254,6.71,0,1,0,512,0.0293
Sourceforge_419.exe,0.6235,BENIGN,SUSPICIOUS,0.0251,0.0176,0.2246,0.0204,0.1248,0.019,5.85,0,0,0,1,0.1058
ir32_32original.dll,0.6132,BENIGN,SUSPICIOUS,0.1248,0.5699,0.1778,0.3142,0.1513,0.4421,5.13,0,0,0,53,0.2907
gnsdk_fp.dll,0.7,BENIGN,RANSOMWARE,0.3085,0.9596,0.4354,0.8249,0.372,0.8923,6.82,0,0,0,86,0.5203
NSIS.exe,0.7,BENIGN,RANSOMWARE,0.3634,0.953,0.1559,0.7608,0.2597,0.8569,6.54,1,0,0,162,0.5973
graywallsetup.exe,0.7,BENIGN,RANSOMWARE,0.1143,0.4386,0.0871,0.8249,0.1007,0.6318,7.98,0,0,0,83,0.5311
modemui.dll,0.7,BENIGN,RANSOMWARE,0.0223,0.8754,0.0562,0.7776,0.0393,0.8265,5.84,0,0,0,166,0.7872
Sourceforge_1496.exe,0.601,BENIGN,SUSPICIOUS,0.1299,0.199,0.08,0.3069,0.105,0.2529,3.74,0,0,0,0,0.148
TableTextService.dll,0.7,BENIGN,RANSOMWARE,0.012,0.9138,0.0135,0.7569,0.0128,0.8353,4.12,0,0,0,196,0.8226
useroobe.dll,0.7,BENIGN,RANSOMWARE,0.0034,0.9596,0.0007,0.8249,0.0021,0.8923,6.2,0,0,0,352,0.8902
CNET_250657.exe,0.7,BENIGN,RANSOMWARE,0.0173,0.0036,0.0245,0.0066,0.0209,0.0051,6.09,0,1,0,1,0.0158
Windows_33.exe,0.7,BENIGN,RANSOMWARE,0.0162,0.0036,0.0382,0.0066,0.0272,0.0051,6.06,0,1,0,1,0.0221
windowsperformancerecordercontrol.dll,0.7,BENIGN,RANSOMWARE,0.0442,0.8179,0.0317,0.7779,0.0379,0.7979,6.42,0,0,0,248,0.76
tapi32.dll,0.7,BENIGN,RANSOMWARE,0.0035,0.8922,0.0064,0.8158,0.0049,0.854,6.63,0,0,0,152,0.8491
mintty.exe,0.7,BENIGN,RANSOMWARE,0.0362,0.8754,0.0339,0.9025,0.0351,0.889,5.72,0,0,0,470,0.8539
