file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
resutils.dll,0.7,BENIGN,RANSOMWARE,0.0172,0.8817,0.0042,0.8654,0.0107,0.8736,6.62,0,0,0,227,0.8629
edit.dll,0.7,BENIGN,RANSOMWARE,0.0194,0.7074,0.0156,0.7876,0.0175,0.7475,6.06,0,0,0,87,0.73
rjvclassicapp.dll,0.7,BENIGN,RANSOMWARE,0.008,0.8294,0.0,0.7766,0.004,0.803,6.36,0,0,0,282,0.799
CNET_22006.exe,0.7,BENIGN,RANSOMWARE,0.054,0.8594,0.0535,0.7671,0.0538,0.8133,7.65,0,0,0,1,0.7595
MRT.exe,0.671,BENIGN,SUSPICIOUS,0.5551,0.3375,0.1399,0.5696,0.3475,0.4536,7.53,0,0,0,275,0.1061
InputPersonalization.exe,0.7,BENIGN,RANSOMWARE,0.0085,0.9535,0.0065,0.8524,0.0075,0.9029,6.06,0,0,0,265,0.8954
setreg.exe,0.5708,BENIGN,SUSPICIOUS,0.3222,0.1959,0.5607,0.2088,0.4414,0.2024,6.51,1,0,0,51,0.239
CNET_43455.exe,0.7965,BENIGN,RANSOMWARE,0.5264,0.0548,0.6098,0.0163,0.5681,0.0356,8.0,0,0,0,1,0.5325
Sourceforge_3579.exe,0.5785,BENIGN,SUSPICIOUS,0.2298,0.2372,0.1207,0.2319,0.1753,0.2346,7.74,0,0,0,1,0.0593
CNET_242346.exe,0.733,BENIGN,RANSOMWARE,0.1262,0.0183,0.258,0.0207,0.1921,0.0195,3.91,0,0,0,1,0.1726
1280.exe,0.6786,BENIGN,SUSPICIOUS,0.2463,0.2372,0.4377,0.2319,0.342,0.2346,7.85,0,0,0,1,0.1075
CNET_252100.exe,0.7,BENIGN,RANSOMWARE,0.191,0.89,0.1553,0.7671,0.1732,0.8286,7.86,0,0,0,1,0.6554
Sourceforge_7542.exe,0.7,BENIGN,RANSOMWARE,0.049,0.8594,0.0292,0.7671,0.0391,0.8133,7.88,0,0,0,1,0.7742
2085.exe,0.6423,BENIGN,SUSPICIOUS,0.1194,0.2372,0.3246,0.2319,0.222,0.2346,7.6,0,0,0,1,0.0126
Sourceforge_4459.exe,0.5899,BENIGN,SUSPICIOUS,0.3303,0.2372,0.2096,0.2319,0.2699,0.2346,7.89,0,0,0,1,0.0354
CNET_100363.exe,0.7,BENIGN,RANSOMWARE,0.054,0.8594,0.088,0.7671,0.071,0.8133,7.53,0,0,0,1,0.7422
Sourceforge_7313.exe,0.6198,BENIGN,SUSPICIOUS,0.1362,0.0183,0.2213,0.0207,0.1788,0.0195,7.23,0,0,0,1,0.1593
snxhk.dll,0.5886,BENIGN,SUSPICIOUS,0.3582,0.1341,0.2635,0.1632,0.3109,0.1486,5.96,0,0,0,115,0.1622
rrinstaller_2074.exe,0.7,BENIGN,RANSOMWARE,0.002,0.9104,0.0021,0.7608,0.0021,0.8356,6.22,0,0,0,128,0.8335
git-bash.exe,0.7586,BENIGN,RANSOMWARE,0.2984,0.2222,0.3262,0.2856,0.3123,0.2539,7.55,0,0,0,86,0.0584
NVDisplay.Container.exe,0.724,BENIGN,RANSOMWARE,0.5905,0.1341,0.6615,0.1632,0.626,0.1486,6.63,0,0,0,137,0.4773
windows.media.ocr.dll,0.7,BENIGN,RANSOMWARE,0.0092,0.8455,0.0028,0.7671,0.006,0.8063,6.79,0,0,0,247,0.8004
ResBParser.dll,0.7786,BENIGN,RANSOMWARE,0.2655,0.2222,0.246,0.3002,0.2558,0.2612,6.02,0,0,0,74,0.0054
CNET_19843.exe,0.6504,BENIGN,SUSPICIOUS,0.0838,0.0183,0.276,0.0207,0.1799,0.0195,4.06,0,0,0,1,0.1604
AVGBrowserInstaller.exe,0.6666,BENIGN,SUSPICIOUS,0.2799,0.1189,0.3162,0.1182,0.2981,0.1186,8.0,0,0,0,55,0.1795
msedge.dll,0.7,BENIGN,RANSOMWARE,0.0788,0.021,0.1038,0.0571,0.0913,0.039,6.71,0,1,0,512,0.0523
FileZillaServer.exe,0.9816,BENIGN,RANSOMWARE,0.7447,0.5066,0.6463,0.417,0.6955,0.4618,6.46,0,0,0,176,0.2337
Sourceforge_419.exe,0.6405,BENIGN,SUSPICIOUS,0.0324,0.0183,0.2002,0.0207,0.1163,0.0195,5.85,0,0,0,1,0.0968
Sourceforge_841.exe,0.6198,BENIGN,SUSPICIOUS,0.1362,0.0183,0.2213,0.0207,0.1788,0.0195,7.23,0,0,0,1,0.1593
1122.exe,0.6087,BENIGN,SUSPICIOUS,0.154,0.0183,0.2208,0.0207,0.1874,0.0195,7.35,0,0,0,1,0.1679
Sourceforge_1217.exe,0.6694,BENIGN,SUSPICIOUS,0.3767,0.2372,0.3501,0.2319,0.3634,0.2346,5.43,0,0,0,1,0.1289
ir32_32original.dll,0.6846,BENIGN,SUSPICIOUS,0.1737,0.5687,0.1424,0.3002,0.158,0.4345,5.13,0,0,0,53,0.2764
gnsdk_fp.dll,0.8737,BENIGN,RANSOMWARE,0.2655,0.9535,0.3775,0.8524,0.3215,0.9029,6.82,0,0,0,86,0.5814
NSIS.exe,0.7,BENIGN,RANSOMWARE,0.3458,0.9535,0.1681,0.7671,0.257,0.8603,6.54,1,0,0,162,0.6033
mercury.exe,0.5641,BENIGN,SUSPICIOUS,0.4304,0.738,0.1153,0.5263,0.2729,0.6322,6.44,1,0,0,292,0.3593
Windows.UI.Internal.Input.ExpressiveInput.Resource.dll,0.5527,BENIGN,SUSPICIOUS,0.3826,0.1679,0.3428,0.1596,0.3627,0.1638,7.8,0,0,0,0,0.1989
modemui.dll,0.7,BENIGN,RANSOMWARE,0.0476,0.9535,0.1426,0.8524,0.0951,0.9029,5.84,0,0,0,166,0.8079
Sourceforge_7745.exe,0.6685,BENIGN,SUSPICIOUS,0.0795,0.0183,0.1867,0.0207,0.1331,0.0195,6.96,0,0,0,1,0.1136
UserInfo.dll,0.615,BENIGN,SUSPICIOUS,0.0538,0.1959,0.1043,0.318,0.0791,0.257,3.34,0,0,0,17,0.1779
Sourceforge_6858.exe,0.6138,BENIGN,SUSPICIOUS,0.058,0.0183,0.1821,0.0207,0.1201,0.0195,3.01,0,0,0,1,0.1005
TableTextService.dll,0.7,BENIGN,RANSOMWARE,0.0141,0.9104,0.0156,0.7608,0.0148,0.8356,4.12,0,0,0,196,0.8208
useroobe.dll,0.7,BENIGN,RANSOMWARE,0.002,0.9535,0.0,0.8524,0.001,0.9029,6.2,0,0,0,352,0.9019
CNET_250657.exe,0.7,BENIGN,RANSOMWARE,0.018,0.0036,0.0284,0.0056,0.0232,0.0046,6.09,0,1,0,1,0.0187
Windows_33.exe,0.7,BENIGN,RANSOMWARE,0.0144,0.0036,0.0263,0.0056,0.0204,0.0046,6.06,0,1,0,1,0.0158
windowsperformancerecordercontrol.dll,0.7,BENIGN,RANSOMWARE,0.0742,0.8294,0.0358,0.7766,0.055,0.803,6.42,0,0,0,248,0.748
tapi32.dll,0.7,BENIGN,RANSOMWARE,0.0092,0.8998,0.0086,0.8266,0.0089,0.8632,6.63,0,0,0,152,0.8543
compact_8522.exe,0.6651,BENIGN,SUSPICIOUS,0.0787,0.2365,0.1723,0.2737,0.1255,0.2551,6.25,1,0,0,101,0.1296
Sourceforge_7732.exe,0.6818,BENIGN,SUSPICIOUS,0.049,0.0183,0.1867,0.0207,0.1178,0.0195,6.96,0,0,0,1,0.0983
mintty.exe,0.7,BENIGN,RANSOMWARE,0.0374,0.7743,0.0463,0.9002,0.0418,0.8373,5.72,0,0,0,470,0.7955
netwlv64.sys,0.6081,BENIGN,SUSPICIOUS,0.1696,0.0753,0.2728,0.0747,0.2212,0.075,6.02,0,0,0,79,0.1463
widevinecdm.dll,0.8921,BENIGN,RANSOMWARE,0.8964,0.1796,0.4599,0.1007,0.6782,0.1402,7.69,1,0,0,181,0.538
