file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,disagreement
cl.exe,0.679,BENIGN,0.3253,0.3426,0.1958,0.4069,0.2605,0.3747,6.05,0,0,0,0.1142
Sourceforge_3759.exe,0.5406,BENIGN,0.0893,0.0052,0.0838,0.006,0.0865,0.0056,3.25,0,0,0,0.081
CNET_252315.exe,0.7,BENIGN,0.0235,0.0193,0.0125,0.0197,0.018,0.0195,6.54,0,1,0,0.0015
provtool.exe,0.7,BENIGN,0.0893,0.9846,0.0093,0.9643,0.0493,0.9744,5.77,0,0,0,0.9251
CNET_233310.exe,0.7676,BENIGN,0.1406,0.0193,0.3654,0.0197,0.253,0.0195,6.24,0,0,0,0.2335
CNET_239489.exe,0.6241,BENIGN,0.105,0.0447,0.2239,0.0499,0.1644,0.0473,4.26,0,0,0,0.1171
TSWbPrxy.exe,0.7,BENIGN,0.0317,0.9547,0.01,0.8741,0.0208,0.9144,5.93,1,0,0,0.8936
Sourceforge_187.exe,0.6297,BENIGN,0.0281,0.3257,0.0511,0.405,0.0396,0.3654,6.28,0,0,0,0.3258
dialer.exe,0.7,BENIGN,0.0893,0.9537,0.0083,0.8019,0.0488,0.8778,5.59,1,0,0,0.829
CNET_233313.exe,0.7,BENIGN,0.0942,0.9547,0.0108,0.8741,0.0525,0.9144,4.99,1,0,0,0.8619
Sourceforge_1459.exe,0.5564,BENIGN,0.0148,0.3257,0.0125,0.405,0.0136,0.3654,4.67,0,0,0,0.3517
CNET_101646.exe,0.7154,BENIGN,0.1784,0.0193,0.2349,0.0197,0.2067,0.0195,2.95,0,0,0,0.1872
CNET_242346.exe,0.9089,BENIGN,0.0886,0.0193,0.2514,0.0197,0.17,0.0195,3.91,0,0,0,0.1505
CNET_103832.exe,0.8069,BENIGN,0.0893,0.3257,0.1265,0.405,0.1079,0.3654,6.28,0,0,0,0.2575
Sourceforge_7771.exe,0.8424,BENIGN,0.007,0.3257,0.0125,0.405,0.0097,0.3654,5.23,0,0,0,0.3556
Sourceforge_7029.exe,0.8424,BENIGN,0.007,0.3257,0.0125,0.405,0.0097,0.3654,5.23,0,0,0,0.3556
ARPPRODUCTICON.exe,0.7191,BENIGN,0.4103,0.7416,0.3942,0.5742,0.4022,0.6579,4.35,0,0,0,0.2557
