file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
38df9f7ee6504ebae134f8f446caaa0cf9f7c2c258f51023bc7eddd68e5aad12.exe,0.0955,MALWARE,BENIGN,0.0268,0.0177,0.0482,0.0232,0.056,0.0216,0.0633,0.0212,0.0486,0.0209,6.83,0,0,0,1,0.0277
85a18f6e3b67c2ebfa27e559515140171348085a4929f95531df15edccd3c4d8.exe,0.2693,MALWARE,BENIGN,0.3297,0.0718,0.1924,0.069,0.2775,0.0826,0.271,0.079,0.2677,0.0756,6.41,0,0,0,0,0.1921
bcb5833e9b9ff99e6d2001552ad663f511bc57af02ca6ecacb188130fd8d753f.exe,0.0714,MALWARE,BENIGN,0.0408,0.0177,0.0164,0.0232,0.0247,0.0216,0.0335,0.0212,0.0288,0.0209,7.43,0,0,0,1,0.0079
6bfaba7f6d10242872a5616340c1e6beba3b2d285d59ed79b63272ea1f2c968e.exe,0.0303,MALWARE,BENIGN,0.0132,0.0177,0.0197,0.0232,0.058,0.0216,0.0444,0.0212,0.0338,0.0209,4.29,0,0,0,1,0.0129
60ab87df9a77924e9f12484fa94f63fa4bb4c646072cf4b002492f59b1ee0103.exe,0.2516,MALWARE,BENIGN,0.2599,0.1071,0.2173,0.248,0.2977,0.1985,0.8273,0.1131,0.4005,0.1667,7.25,0,0,0,34,0.2338
482754d66d01aa3579f007c2b3c3d0591865eb60ba60b9c28c66fe6f4ac53c52.exe,0.4097,MALWARE,SUSPICIOUS,0.0113,0.0177,0.5047,0.0232,0.1082,0.0216,0.0112,0.0212,0.1588,0.0209,5.93,0,0,0,1,0.1379
VirusShare_631642b3ebcc9970ae58228f8987f0ec.exe,0.4401,MALWARE,SUSPICIOUS,0.2001,0.4699,0.2539,0.2461,0.1864,0.2019,0.0925,0.2548,0.1832,0.2932,4.51,0,0,0,92,0.1099
e2cd9ed64fde196fd80804cf0fbbc235c82f4362b21cbcae9541f426b4c029d0_3252.exe,0.0156,MALWARE,BENIGN,0.1013,0.0089,0.2193,0.0,0.2192,0.0019,0.1835,0.0021,0.1809,0.0032,6.05,0,0,0,193,0.1776
VirusShare_be8fcbe796af1267a45b9cba4ed08335.exe,0.0205,MALWARE,BENIGN,0.0132,0.0177,0.0253,0.0232,0.0287,0.0216,0.0152,0.0212,0.0206,0.0209,6.9,0,0,0,1,0.0003
d551a474ecf0b7d1ba6dda319e3b77fdecf39489eaf14b7d8837002f2d31387b.exe,0.1361,MALWARE,BENIGN,0.1024,0.2696,0.0295,0.248,0.0496,0.2441,0.1329,0.2548,0.0786,0.2541,7.99,0,0,0,1,0.1755
VirusShare_8441d32f80ef2c7772b25db4b95aab4f.exe,0.01,MALWARE,BENIGN,0.0033,0.0718,0.0042,0.069,0.0052,0.0826,0.0047,0.079,0.0044,0.0756,5.25,0,0,0,1,0.0712
98c9e56cba271bf7b32fc17d7966d067d9b549594f8dc60c941f93346e376c00.exe,0.1755,MALWARE,BENIGN,0.1834,0.2696,0.0789,0.248,0.0977,0.2441,0.1963,0.2548,0.1391,0.2541,7.95,0,0,0,1,0.1151
f9c5420c0f039a178f5495ecfb657f8da383624e0cf7f02c645fbdfa95e2e8b9.exe,0.3266,MALWARE,BENIGN,0.1999,0.2696,0.2652,0.248,0.2298,0.2441,0.2261,0.2548,0.2302,0.2541,7.93,0,0,0,1,0.0239
VirusShare_7207d7d308e600d53bc7a0b1536680aa.exe,0.0198,MALWARE,BENIGN,0.02,0.0718,0.0051,0.069,0.0133,0.0826,0.0112,0.079,0.0124,0.0756,6.16,0,0,0,1,0.0632
deb43e7f95ff24a190394c9c92b56c33d31fd10c9a52c19694c5d45b2a60b7b5.exe,0.0221,MALWARE,BENIGN,0.0113,0.0177,0.0606,0.0232,0.0133,0.0216,0.0155,0.0212,0.0252,0.0209,4.24,0,0,0,1,0.0043
1d28c4c85e241efbbe326051999b9a8e1d8eeb9a3322da5cb9a93c31c65bbb49_8856.exe,0.3287,MALWARE,BENIGN,0.0555,0.0177,0.3707,0.0232,0.2239,0.0216,0.1128,0.0212,0.1907,0.0209,6.27,0,0,0,1,0.1698
81d7b2b6e5566698ac4465ef8e720ab06f53045fdfcf8b74be09cb118b8ab993.exe,0.0465,MALWARE,BENIGN,0.0268,0.0718,0.0841,0.069,0.0547,0.0826,0.0196,0.079,0.0463,0.0756,6.2,0,0,0,1,0.0293
23bdeb9ae6a8f414c33ed8baf2de46477d0bc7f469dd543d60332a04e0b7c039.exe,0.2465,MALWARE,BENIGN,0.1834,0.1512,0.0785,0.0277,0.1232,0.179,0.2261,0.2548,0.1528,0.1532,7.95,0,0,0,1,0.0004
5ff8f64c4f30268e388f898e0540163158b5941f9c0900d50c4d2fd9d1062e4c.exe,0.1866,MALWARE,BENIGN,0.1834,0.2696,0.1136,0.248,0.1843,0.2441,0.1963,0.2548,0.1694,0.2541,7.76,0,0,0,1,0.0847
94658982002db6acea22c68b7619f71154933effd6428a81a235aba6e2789328.exe,0.0186,MALWARE,BENIGN,0.051,0.0023,0.0291,0.0019,0.1263,0.0009,0.0718,0.0005,0.0696,0.0014,3.34,0,0,0,1,0.0681
e2cd9ed64fde196fd80804cf0fbbc235c82f4362b21cbcae9541f426b4c029d0.exe,0.0156,MALWARE,BENIGN,0.1013,0.0089,0.2193,0.0,0.2192,0.0019,0.1835,0.0021,0.1809,0.0032,6.05,0,0,0,193,0.1776
