file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
546817e28100127124a0368050cbe6ecd1ea7a64c0bdfbef14823bb77404c42b_7619.exe,0.4125,MALWARE,BENIGN,0.0811,0.2827,0.0714,0.2837,0.0763,0.2832,5.96,0,0,0,131,0.2069
584e4ad4ef01550d20494b6929c4bdd29f0a0ab47066890f140b2d4e012734a1.exe,0.0116,MALWARE,BENIGN,0.0042,0.0183,0.0029,0.0207,0.0035,0.0195,4.71,0,0,0,1,0.016
38df9f7ee6504ebae134f8f446caaa0cf9f7c2c258f51023bc7eddd68e5aad12.exe,0.0197,MALWARE,BENIGN,0.0192,0.0183,0.0297,0.0207,0.0244,0.0195,6.83,0,0,0,1,0.0049
f8da280bb9f81028c14d1e156d6685cdb5f75219a60f645f72e520fb5e388712.exe,0.5326,MALWARE,BENIGN,0.0248,0.0183,0.2006,0.0207,0.1127,0.0195,5.16,0,0,0,1,0.0932
a1211549b4e1a7befd953d03b4d929b3dc9f25ec6c1bc9c05ae92a0ec08fb77c.exe,0.0058,MALWARE,BENIGN,0.0072,0.0183,0.0035,0.0207,0.0054,0.0195,5.32,0,0,0,1,0.0141
cdf13a3de6cf91a1c47ea6eca971ef781847a85df0691c54484bcf41f5f211cb_1899.exe,0.4766,MALWARE,BENIGN,0.12,0.0183,0.1869,0.0207,0.1534,0.0195,2.61,0,0,0,1,0.1339
171c9a82171f9092fbc4b9d80af92448c9d2b6ebe00e14ceef0e5259b92578c7_9222.exe,0.6678,MALWARE,SUSPICIOUS,0.333,0.2372,0.231,0.2319,0.282,0.2346,7.63,0,0,0,1,0.0474
59e0ab333060b4e510db5d36d87f0fe267ab66b0881955649b06d91d6dd2d486.exe,0.1091,MALWARE,BENIGN,0.0427,0.0183,0.1098,0.0207,0.0763,0.0195,7.43,0,0,0,1,0.0568
ec368752c2cf3b23efbfa5705f9e582fc9d6766435a7b8eea8ef045082c6fbce.exe,0.4954,MALWARE,BENIGN,0.4976,0.0728,0.4,0.078,0.4488,0.0754,5.91,0,0,0,3,0.3733
2c85d7c4dd069fff494edd19387d56e54a52f6ef1b557f3d775f999410eb5a4d.exe,0.0301,MALWARE,BENIGN,0.0,0.0183,0.0029,0.0207,0.0015,0.0195,5.51,0,0,0,1,0.018
a16eecee6aa3bf02029cef722595b11c7d2088a02c4678cc23afb50badddfc5f.exe,0.001,MALWARE,BENIGN,0.0042,0.0036,0.0092,0.0052,0.0067,0.0044,5.2,0,0,0,1,0.0023
800b4455105a08833332092017909f9dd47bd4ebfb1cbddbe0b95658d03b8d64.exe,0.0028,MALWARE,BENIGN,0.0144,0.0183,0.0293,0.0207,0.0219,0.0195,5.29,0,0,0,1,0.0024
1338408cf2fbb6f78b650f0d76aa3a9e18430b9887bc319880adb09268bbbbb1.exe,0.0943,MALWARE,BENIGN,0.0429,0.021,0.1822,0.0086,0.1126,0.0148,6.39,1,0,0,120,0.0978
546817e28100127124a0368050cbe6ecd1ea7a64c0bdfbef14823bb77404c42b.exe,0.4125,MALWARE,BENIGN,0.0811,0.2827,0.0714,0.2837,0.0763,0.2832,5.96,0,0,0,131,0.2069
4a843cec82d350fe81db4cfbe43ee13dd69584a2031f362d523ac0ebc08a0fa9.dll,0.0349,MALWARE,BENIGN,0.0414,0.0036,0.0446,0.0052,0.043,0.0044,7.15,0,0,0,1,0.0387
