file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,disagreement
devenv.exe,0.8149,BENIGN,0.8067,0.8127,0.7337,0.7949,0.7702,0.8038,6.38,0,0,0,0.0336
language.exe,0.9994,BENIGN,1.0,0.7217,1.0,0.9615,1.0,0.8416,7.42,0,0,0,0.1584
awk.exe,0.9664,BENIGN,0.8969,0.7658,0.941,0.5205,0.919,0.6431,6.29,0,0,0,0.2758
dialer.exe,0.7,BENIGN,0.089,0.9724,0.009,0.9116,0.049,0.942,5.59,1,0,0,0.893
CNET_107001.exe,0.8239,BENIGN,0.1064,0.018,0.3359,0.0191,0.2212,0.0185,2.38,0,0,0,0.2026
setreg.exe,0.8692,BENIGN,0.464,0.3539,0.7231,0.3453,0.5936,0.3496,6.51,1,0,0,0.244
SELFCERT.EXE,0.9502,BENIGN,0.8725,0.7217,0.94,0.9623,0.9063,0.842,7.2,0,0,0,0.0643
Sourceforge_6088.exe,0.9509,BENIGN,0.3044,0.2443,0.7231,0.2387,0.5138,0.2415,7.92,0,0,0,0.2723
chrome.exe,0.7,BENIGN,0.9142,0.3539,0.5942,0.2229,0.7542,0.2884,6.68,0,0,0,0.4658
Sourceforge_187.exe,0.6842,BENIGN,0.0396,0.3211,0.0717,0.4012,0.0556,0.3612,6.28,0,0,0,0.3055
jxbrowser-chromium.exe,0.9978,BENIGN,0.9693,0.7695,0.9767,0.5794,0.973,0.6744,5.88,0,0,0,0.2986
urlproxy.exe,0.6833,BENIGN,0.6317,0.6903,0.5754,0.5791,0.6036,0.6347,5.94,0,0,0,0.0311
CNET_233313.exe,0.7,BENIGN,0.089,0.9637,0.0256,0.8487,0.0573,0.9062,4.99,1,0,0,0.8489
Sourceforge_6858.exe,0.8669,BENIGN,0.2244,0.018,0.6008,0.0191,0.4126,0.0185,3.01,0,0,0,0.3941
Sourceforge_3056.exe,0.9993,BENIGN,1.0,0.7135,0.9982,0.7268,0.9991,0.7202,7.79,0,0,0,0.2789
Rar.exe,0.7385,BENIGN,0.8639,0.2385,0.8066,0.0654,0.8353,0.1519,6.4,1,0,0,0.6833
CNET_259964.exe,0.9622,BENIGN,0.7677,0.9923,0.4866,0.9988,0.6271,0.9955,6.07,0,0,0,0.3684
CNET_36743.exe,0.9998,BENIGN,0.9839,1.0,1.0,0.9988,0.9919,0.9994,7.46,1,0,0,0.0074
openssl.exe,0.9977,BENIGN,0.8639,0.7449,1.0,0.6913,0.9319,0.7181,6.63,0,0,0,0.2138
CNET_242346.exe,0.8642,BENIGN,0.1581,0.018,0.4842,0.0191,0.3212,0.0185,3.91,0,0,0,0.3026
CNET_103832.exe,0.8083,BENIGN,0.0821,0.3211,0.1164,0.4012,0.0993,0.3612,6.28,0,0,0,0.2619
