file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
c14140334714625be71b73008adf8f54c878e3c9f979c3e58d6518fb5efdf485.exe,0.7736,MALWARE,SUSPICIOUS,0.0153,0.2811,0.0786,0.3936,0.143,0.3509,0.068,0.3187,0.0763,0.3361,5.5,0,0,0,1,0.2598
869c14299d4b52a3f5b28ee46d5ccb295808f2c0bdd73bd3027689b0378baef4_1005.exe,0.9468,MALWARE,SUSPICIOUS,0.0314,0.2811,0.5019,0.3936,0.3927,0.3509,0.082,0.3187,0.252,0.3361,5.22,0,0,0,1,0.0841
38df9f7ee6504ebae134f8f446caaa0cf9f7c2c258f51023bc7eddd68e5aad12.exe,0.5991,MALWARE,SUSPICIOUS,0.1275,0.0187,0.5683,0.0247,0.2866,0.0232,0.1183,0.0217,0.2752,0.0221,6.83,0,0,0,1,0.2531
7e18ff461e3fc159c9b6634c9250600ea4c62da604885697c95d9bac794109b8_9759.exe,0.8924,MALWARE,SUSPICIOUS,0.1412,0.0187,0.5477,0.0247,0.453,0.0232,0.1686,0.0217,0.3276,0.0221,7.02,0,0,0,1,0.3056
171c9a82171f9092fbc4b9d80af92448c9d2b6ebe00e14ceef0e5259b92578c7_9222.exe,0.7471,MALWARE,SUSPICIOUS,0.173,0.2811,0.4581,0.2544,0.2746,0.2512,0.1183,0.2601,0.256,0.2617,7.63,0,0,0,1,0.0057
0a0f1e0ef771046285f78b7af20aac3384b521dbbf6bc69ca6d559cc15d9f97e_2011.exe,0.8531,MALWARE,SUSPICIOUS,0.0095,0.2811,0.5655,0.3936,0.1786,0.3509,0.0089,0.3187,0.1906,0.3361,5.21,0,0,0,1,0.1454
5e41340a94b66980044e5e08646bf159d225051b213234936178a2a3f722f446.exe,0.5174,MALWARE,SUSPICIOUS,0.0315,0.0187,0.4464,0.0247,0.3042,0.0232,0.1686,0.0217,0.2377,0.0221,4.29,0,0,0,1,0.2156
bcb5833e9b9ff99e6d2001552ad663f511bc57af02ca6ecacb188130fd8d753f.exe,0.8985,MALWARE,SUSPICIOUS,0.1275,0.0187,0.5414,0.0247,0.3696,0.0232,0.0663,0.0217,0.2762,0.0221,7.43,0,0,0,1,0.2542
71bd706cc0ace3774449282a9c1de5403f8f43dad118b9fbf4fc45cf4894f8e9.exe,0.6708,MALWARE,SUSPICIOUS,0.1209,0.0187,0.5861,0.0247,0.3715,0.0232,0.1686,0.0217,0.3118,0.0221,6.97,0,0,0,1,0.2897
VirusShare_7b7f6d272f3c07cd10db43441df927e7.exe,0.1302,MALWARE,BENIGN,0.0525,0.0187,0.1738,0.0247,0.122,0.0232,0.1202,0.0217,0.1171,0.0221,6.56,0,0,0,1,0.0951
6bfaba7f6d10242872a5616340c1e6beba3b2d285d59ed79b63272ea1f2c968e.exe,0.9205,MALWARE,SUSPICIOUS,0.0638,0.0187,0.566,0.0247,0.4677,0.0232,0.1246,0.0217,0.3055,0.0221,4.29,0,0,0,1,0.2835
fd59543a425d2159dfadba8efd4d40178b609ef123a8bc5cf00fe3afef95623d.exe,0.6877,MALWARE,SUSPICIOUS,0.1479,0.2811,0.3274,0.2544,0.3594,0.2512,0.1776,0.2601,0.2531,0.2617,7.7,0,0,0,1,0.0086
954d8fcd6b74d76999f9ec033ca855ffdab6595be23039f03bc4c6017fa3932c.exe,0.7809,MALWARE,SUSPICIOUS,0.006,0.2811,0.1801,0.3936,0.209,0.3509,0.0086,0.3187,0.1009,0.3361,5.15,0,0,0,1,0.2351
88f6a6455f92255a189526e36aeb581c95c28dc5e26357e7667f871444a336ba.exe,0.0915,MALWARE,BENIGN,0.0781,0.0187,0.144,0.0247,0.1002,0.0232,0.1274,0.0217,0.1124,0.0221,7.38,0,0,0,1,0.0904
482754d66d01aa3579f007c2b3c3d0591865eb60ba60b9c28c66fe6f4ac53c52.exe,0.5745,MALWARE,SUSPICIOUS,0.0103,0.0187,0.4769,0.0247,0.1202,0.0232,0.0089,0.0217,0.1541,0.0221,5.93,0,0,0,1,0.132
VirusShare_be8fcbe796af1267a45b9cba4ed08335.exe,0.9154,MALWARE,SUSPICIOUS,0.0513,0.0187,0.5155,0.0247,0.3731,0.0232,0.0438,0.0217,0.2459,0.0221,6.9,0,0,0,1,0.2239
42a12bf339544f034c6d67af2e4ca272d666c5cd58cde1714b386fe8ea0c669b.exe,0.7,MALWARE,SUSPICIOUS,0.0495,0.8366,0.0199,0.8222,0.025,0.8578,0.0601,0.8216,0.0386,0.8345,7.56,0,0,0,1,0.7959
VirusShare_8441d32f80ef2c7772b25db4b95aab4f.exe,0.8737,MALWARE,SUSPICIOUS,0.0228,0.0833,0.5414,0.0855,0.3696,0.0932,0.0114,0.0887,0.2363,0.0877,5.25,0,0,0,1,0.1486
226a723ffb4a91d9950a8b266167c5b354ab0db1dc225578494917fe53867ef2.exe,0.7,MALWARE,SUSPICIOUS,0.0431,0.8152,0.0221,0.9561,0.0355,0.9239,0.0238,0.698,0.0311,0.8483,5.64,0,0,0,103,0.8171
12cf510444fbe31d26b0d07046827713acff59310a677041d10a38baa5475bb9.exe,0.5559,MALWARE,SUSPICIOUS,0.0299,0.2811,0.0743,0.3936,0.0962,0.3509,0.1353,0.3187,0.0839,0.3361,3.01,0,0,0,1,0.2521
f9c5420c0f039a178f5495ecfb657f8da383624e0cf7f02c645fbdfa95e2e8b9.exe,0.7838,MALWARE,SUSPICIOUS,0.2715,0.2811,0.3033,0.2544,0.3481,0.2512,0.2589,0.2601,0.2955,0.2617,7.93,0,0,0,1,0.0337
VirusShare_7207d7d308e600d53bc7a0b1536680aa.exe,0.9316,MALWARE,SUSPICIOUS,0.0519,0.0833,0.543,0.0855,0.4694,0.0932,0.0418,0.0887,0.2765,0.0877,6.16,0,0,0,1,0.1889
deb43e7f95ff24a190394c9c92b56c33d31fd10c9a52c19694c5d45b2a60b7b5.exe,0.9042,MALWARE,SUSPICIOUS,0.0314,0.0187,0.6007,0.0247,0.3927,0.0232,0.0652,0.0217,0.2725,0.0221,4.24,0,0,0,1,0.2504
a80c2b5c0cb59b820f48b8e56721fa932d7ecc5d1b20e75dcfd07b5721205240.exe,0.9338,MALWARE,SUSPICIOUS,0.1802,0.9098,0.4408,0.9953,0.3149,0.9942,0.2405,0.9957,0.2941,0.9737,6.16,0,0,0,1,0.6797
1d28c4c85e241efbbe326051999b9a8e1d8eeb9a3322da5cb9a93c31c65bbb49_8856.exe,0.3035,MALWARE,BENIGN,0.0561,0.0187,0.3545,0.0247,0.1307,0.0232,0.0914,0.0217,0.1582,0.0221,6.27,0,0,0,1,0.1361
81d7b2b6e5566698ac4465ef8e720ab06f53045fdfcf8b74be09cb118b8ab993.exe,0.8982,MALWARE,SUSPICIOUS,0.1275,0.0833,0.589,0.0855,0.4943,0.0932,0.1026,0.0887,0.3284,0.0877,6.2,0,0,0,1,0.2407
23bdeb9ae6a8f414c33ed8baf2de46477d0bc7f469dd543d60332a04e0b7c039.exe,0.5943,MALWARE,SUSPICIOUS,0.3549,0.1435,0.367,0.0308,0.4392,0.1577,0.2835,0.2601,0.3612,0.148,7.95,0,0,0,1,0.2132
f8da280bb9f81028c14d1e156d6685cdb5f75219a60f645f72e520fb5e388712_4871.exe,0.6302,MALWARE,SUSPICIOUS,0.0095,0.0187,0.4583,0.0247,0.1241,0.0232,0.0126,0.0217,0.1512,0.0221,5.16,0,0,0,1,0.1291
VirusShare_f1b3ae7309941128248c9c15f6e44ee5.exe,0.802,MALWARE,SUSPICIOUS,0.1551,0.6025,0.5425,0.9152,0.0965,0.8831,0.0942,0.8381,0.2221,0.8097,7.46,0,0,0,34,0.5877
