file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
CNET_29769.exe,0.7026,BENIGN,RANSOMWARE,0.4757,0.0599,0.4603,0.0189,0.4217,0.0189,0.1607,0.0665,0.3796,0.0411,7.96,0,0,0,1,0.3385
InstallOptions.dll,0.717,BENIGN,RANSOMWARE,0.2766,0.3085,0.4844,0.2027,0.3447,0.2528,0.5436,0.3896,0.4123,0.2884,5.47,1,0,0,80,0.1239
CNET_252100.exe,0.7,BENIGN,RANSOMWARE,0.1959,0.8647,0.2277,0.8408,0.2176,0.8503,0.2199,0.8263,0.2153,0.8455,7.86,0,0,0,1,0.6302
modemui.dll,0.7,BENIGN,RANSOMWARE,0.0409,0.8285,0.1004,0.6934,0.0538,0.7428,0.4929,0.8579,0.172,0.7807,5.84,0,0,0,166,0.6087
Sourceforge_4547.exe,0.519,BENIGN,SUSPICIOUS,0.1263,0.3085,0.2731,0.2493,0.2539,0.2528,0.1992,0.2586,0.2131,0.2673,7.62,0,0,0,1,0.0542
CNET_204657.exe,0.7,BENIGN,RANSOMWARE,0.0242,0.8539,0.0099,0.8298,0.0407,0.8503,0.0704,0.8263,0.0363,0.8401,6.66,0,0,0,1,0.8038
getprocaddr32.exe,0.531,BENIGN,SUSPICIOUS,0.0745,0.1053,0.1904,0.1963,0.2391,0.1431,0.1051,0.1575,0.1523,0.1505,6.01,0,0,0,71,0.0017
Sourceforge_7406.exe,0.7644,BENIGN,RANSOMWARE,0.0185,0.0206,0.1501,0.0247,0.201,0.0244,0.0082,0.0221,0.0944,0.023,5.27,0,0,0,1,0.0715
CNET_104817.exe,0.7,BENIGN,RANSOMWARE,0.0216,0.8539,0.0196,0.8298,0.0497,0.8503,0.0813,0.8263,0.0431,0.8401,7.42,0,0,0,1,0.797
MSASCui.exe,0.6608,BENIGN,RANSOMWARE,0.3588,0.2474,0.139,0.1541,0.302,0.1013,0.5621,0.6545,0.3405,0.2893,6.29,0,0,0,608,0.0512
vps_helper.exe,0.7026,BENIGN,RANSOMWARE,0.298,0.0862,0.4801,0.0772,0.4761,0.0801,0.5374,0.1575,0.4479,0.1002,6.42,0,0,0,191,0.3477
Sourceforge_4546.exe,0.876,BENIGN,RANSOMWARE,0.0951,0.0206,0.3733,0.0247,0.2775,0.0244,0.0291,0.0221,0.1937,0.023,6.15,0,0,0,1,0.1708
CNET_10961.exe,0.7,BENIGN,RANSOMWARE,0.0242,0.8539,0.0245,0.8298,0.0163,0.8503,0.0484,0.8263,0.0284,0.8401,7.13,0,0,0,1,0.8117
softonic80.exe,0.735,BENIGN,RANSOMWARE,0.2245,0.2404,0.491,0.1709,0.3413,0.2256,0.1593,0.1955,0.304,0.2081,7.63,0,0,0,1,0.0959
ShaderCompiler.exe,0.7922,BENIGN,RANSOMWARE,0.1374,0.3085,0.2513,0.3192,0.4603,0.2528,0.4929,0.4073,0.3355,0.3219,6.5,0,0,0,141,0.0135
Sourceforge_2991.exe,0.6875,BENIGN,RANSOMWARE,0.1874,0.3085,0.398,0.2493,0.3808,0.2528,0.1506,0.2586,0.2792,0.2673,7.63,0,0,0,1,0.0119
Sourceforge_2011.exe,0.7,BENIGN,RANSOMWARE,0.0159,0.8539,0.0067,0.8298,0.0062,0.8503,0.0678,0.8263,0.0242,0.8401,7.49,0,0,0,1,0.8159
CNET_101386.exe,0.5815,BENIGN,SUSPICIOUS,0.0326,0.0206,0.2388,0.0247,0.1094,0.0244,0.0095,0.0221,0.0976,0.023,3.86,0,0,0,1,0.0746
unset.exe,0.6118,BENIGN,SUSPICIOUS,0.7614,0.2283,0.3873,0.1994,0.5768,0.2048,0.8216,0.1955,0.6368,0.207,6.74,1,0,0,171,0.4298
gitk.exe,0.7,BENIGN,RANSOMWARE,0.305,0.5205,0.0436,0.5365,0.1011,0.5345,0.5374,0.5909,0.2468,0.5456,7.54,0,0,0,86,0.2988
Sourceforge_7714.exe,0.7,BENIGN,RANSOMWARE,0.0568,0.8539,0.0554,0.8298,0.0799,0.8503,0.2162,0.8263,0.1021,0.8401,7.5,0,0,0,1,0.738
Sourceforge_7717.exe,0.7,BENIGN,RANSOMWARE,0.0397,0.8539,0.0399,0.8298,0.0391,0.8503,0.1677,0.8263,0.0716,0.8401,7.89,0,0,0,1,0.7685
CNET_239019.exe,0.8691,BENIGN,RANSOMWARE,0.2407,0.0037,0.274,0.0056,0.3085,0.0058,0.0704,0.0033,0.2234,0.0046,7.17,0,0,0,1,0.2188
CNET_20572.exe,0.8267,BENIGN,RANSOMWARE,0.5017,0.2404,0.3931,0.1709,0.4852,0.2256,0.1461,0.1955,0.3815,0.2081,7.62,0,0,0,1,0.1735
Sourceforge_7719.exe,0.7,BENIGN,RANSOMWARE,0.0568,0.8539,0.0554,0.8298,0.0799,0.8503,0.2162,0.8263,0.1021,0.8401,7.5,0,0,0,1,0.738
Sourceforge_41.exe,0.5671,BENIGN,SUSPICIOUS,0.1374,0.0206,0.1698,0.0247,0.1546,0.0244,0.0192,0.0221,0.1203,0.023,6.16,0,0,0,1,0.0973
CNET_102372.exe,0.7757,BENIGN,RANSOMWARE,0.2458,0.3085,0.4048,0.2493,0.3264,0.2528,0.1992,0.2586,0.294,0.2673,7.79,0,0,0,1,0.0268
softonic62.exe,0.7869,BENIGN,RANSOMWARE,0.3522,0.9113,0.2376,0.9699,0.1641,0.9472,0.2997,0.997,0.2634,0.9563,7.29,1,0,0,13,0.6929
Sourceforge_2961.exe,0.7644,BENIGN,RANSOMWARE,0.0185,0.0206,0.1501,0.0247,0.201,0.0244,0.0082,0.0221,0.0944,0.023,5.27,0,0,0,1,0.0715
racpldlg.dll,0.9048,BENIGN,RANSOMWARE,0.242,0.2567,0.3252,0.3923,0.3439,0.3917,0.3069,0.8718,0.3045,0.4781,7.07,0,0,0,285,0.1736
2237.exe,0.6607,BENIGN,RANSOMWARE,0.0289,0.0206,0.2647,0.0247,0.1848,0.0244,0.0192,0.0221,0.1244,0.023,6.11,0,0,0,1,0.1014
windows.storage.dll,0.7936,BENIGN,RANSOMWARE,0.2186,0.069,0.3048,0.0255,0.2897,0.0262,0.0719,0.0556,0.2212,0.0441,6.79,0,0,0,615,0.1772
getprocaddr64.exe,0.6103,BENIGN,SUSPICIOUS,0.1033,0.1053,0.1484,0.1963,0.2168,0.1431,0.0646,0.1575,0.1333,0.1505,5.89,0,0,0,69,0.0172
CNET_21986.exe,0.7226,BENIGN,RANSOMWARE,0.3576,0.171,0.4138,0.1728,0.3745,0.1606,0.215,0.4366,0.3402,0.2352,7.94,0,0,0,1,0.105
uninst.exe,0.8344,BENIGN,RANSOMWARE,0.8302,0.2283,0.6552,0.1994,0.7957,0.2048,0.6427,0.1955,0.7309,0.207,7.05,1,0,0,165,0.5239
wuceffects.dll,0.7327,BENIGN,RANSOMWARE,0.0745,0.5709,0.1524,0.3852,0.1595,0.3674,0.3484,0.4073,0.1837,0.4327,6.63,1,0,0,114,0.249
P2PGraph.dll,0.7,BENIGN,RANSOMWARE,0.0115,0.9658,0.0028,0.8408,0.0015,0.8503,0.0219,0.8579,0.0094,0.8787,6.63,0,0,0,163,0.8693
Sourceforge_6786.exe,0.735,BENIGN,RANSOMWARE,0.2245,0.2404,0.491,0.1709,0.3413,0.2256,0.1593,0.1955,0.304,0.2081,7.63,0,0,0,1,0.0959
softonic99.exe,0.8219,BENIGN,RANSOMWARE,0.3589,0.171,0.4809,0.1728,0.5237,0.1606,0.2079,0.4366,0.3929,0.2352,7.82,0,0,0,1,0.1576
Sourceforge_6131.exe,0.5941,BENIGN,SUSPICIOUS,0.1263,0.3085,0.0978,0.2493,0.2243,0.2528,0.0876,0.2586,0.134,0.2673,7.93,0,0,0,1,0.1333
2261.exe,0.6593,BENIGN,SUSPICIOUS,0.0647,0.0206,0.2195,0.0247,0.1848,0.0244,0.0291,0.0221,0.1245,0.023,6.14,0,0,0,1,0.1016
Sourceforge_7662.exe,0.6015,BENIGN,SUSPICIOUS,0.1175,0.0206,0.2066,0.0247,0.1878,0.0244,0.0341,0.0221,0.1365,0.023,5.99,0,0,0,1,0.1135
