file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,disagreement
Sourceforge_6915.exe,0.4261,BENIGN,0.0638,0.0062,0.1005,0.0072,0.0822,0.0067,3.3,0,0,0,0.0755
Sourceforge_1433.exe,0.3147,BENIGN,0.0267,0.0062,0.0766,0.0072,0.0517,0.0067,4.58,0,0,0,0.045
hwrcomp.exe,0.2851,BENIGN,0.2587,0.3348,0.1646,0.2311,0.2117,0.2829,6.12,0,0,0,0.0713
Sourceforge_4426.exe,0.7473,BENIGN,0.0095,0.3502,0.0113,0.4503,0.0104,0.4003,6.28,0,0,0,0.3899
CNET_224630.exe,0.3746,BENIGN,0.0544,0.0214,0.1695,0.0218,0.112,0.0216,6.7,0,0,0,0.0903
awk.exe,0.5744,BENIGN,0.3138,0.3494,0.3333,0.3139,0.3236,0.3316,6.29,0,0,0,0.0081
CNET_264725.exe,0.2095,BENIGN,0.0131,0.2197,0.0247,0.3343,0.0189,0.277,6.77,0,0,0,0.2581
CNET_107001.exe,0.9312,BENIGN,0.1559,0.0214,0.3981,0.0218,0.277,0.0216,2.38,0,0,0,0.2554
CNET_204248.exe,0.9175,BENIGN,0.1461,0.0214,0.3024,0.0218,0.2243,0.0216,3.84,0,0,0,0.2026
setreg.exe,0.7635,BENIGN,0.3939,0.4383,0.6824,0.3417,0.5381,0.39,6.51,1,0,0,0.1481
Sourceforge_3803.exe,0.2368,BENIGN,0.1602,0.0214,0.1628,0.0218,0.1615,0.0216,3.58,0,0,0,0.1398
Sourceforge_187.exe,0.7347,BENIGN,0.0317,0.3502,0.0485,0.4503,0.0401,0.4003,6.28,0,0,0,0.3601
jxbrowser-chromium.exe,0.7,BENIGN,0.4119,0.6687,0.4042,0.5683,0.408,0.6185,5.88,0,0,0,0.2105
Sourceforge_5367.exe,0.5382,BENIGN,0.0079,0.3502,0.0141,0.4503,0.011,0.4003,5.11,0,0,0,0.3893
credwiz.exe,0.2033,BENIGN,0.39,0.5703,0.2036,0.0959,0.2968,0.3331,5.34,1,0,0,0.0363
CNET_233313.exe,0.2209,BENIGN,0.1201,0.9662,0.0154,0.8259,0.0677,0.896,4.99,1,0,0,0.8283
Sourceforge_6858.exe,0.8888,BENIGN,0.2498,0.0214,0.5743,0.0218,0.4121,0.0216,3.01,0,0,0,0.3904
SecEdit.exe,0.3097,BENIGN,0.2707,0.3348,0.1557,0.2311,0.2132,0.2829,5.68,0,0,0,0.0698
Sourceforge_6363.exe,0.5214,BENIGN,0.038,0.0062,0.1241,0.0072,0.081,0.0067,5.06,0,0,0,0.0743
gnutls-cli.exe,0.2942,BENIGN,0.2401,0.0885,0.3955,0.0103,0.3178,0.0494,6.34,0,0,0,0.2684
softonic70.exe,0.3328,BENIGN,0.1982,0.0214,0.361,0.006,0.2796,0.0137,6.24,0,0,0,0.2659
CNET_259964.exe,0.451,BENIGN,0.2537,0.4795,0.179,0.5327,0.2164,0.5061,6.07,0,0,0,0.2897
openssl.exe,0.6218,BENIGN,0.3138,0.3127,0.3865,0.3526,0.3501,0.3327,6.63,0,0,0,0.0175
ffplay.exe,0.3677,BENIGN,0.1507,0.3348,0.1167,0.2311,0.1337,0.2829,6.18,0,0,0,0.1492
2182.exe,0.5407,BENIGN,0.0152,0.0214,0.1465,0.0218,0.0809,0.0216,1.54,0,0,0,0.0592
CNET_242346.exe,0.9176,BENIGN,0.1458,0.0214,0.3553,0.0218,0.2506,0.0216,3.91,0,0,0,0.2289
VSPerfCmd.exe,0.8328,BENIGN,0.5042,0.3155,0.4587,0.2241,0.4815,0.2698,6.21,0,0,0,0.2117
auditpol.exe,0.2298,BENIGN,0.2416,0.3844,0.1055,0.2793,0.1736,0.3319,5.84,0,0,0,0.1583
CNET_103832.exe,0.8743,BENIGN,0.1158,0.3502,0.2016,0.4503,0.1587,0.4003,6.28,0,0,0,0.2416
