file,path,verdict,fusion_prob,avg_behavior,avg_artifact,entropy,shadow_del,signed,size_anomaly
VirusShare_6aa26f04b22b284dda148ce317f53de8.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_6aa26f04b22b284dda148ce317f53de8.exe,RANSOMWARE,0.9993,0.9982,0.9981,7.35,0,0,0
VirusShare_1c71d29bede55f34c9b17e24bd6a2a31.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1c71d29bede55f34c9b17e24bd6a2a31.exe,RANSOMWARE,0.9911,0.9917,0.6579,6.57,0,0,0
VirusShare_9b1da810487cdcb458d46f394f561fdb.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_9b1da810487cdcb458d46f394f561fdb.exe,RANSOMWARE,0.9998,0.9984,0.9905,7.01,0,0,0
VirusShare_5eed65efcb20b04971364334bdaf9174.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_5eed65efcb20b04971364334bdaf9174.exe,RANSOMWARE,0.761,0.8231,0.6579,6.65,0,0,0
VirusShare_5b712f99b32783231704adc73a251e46.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_5b712f99b32783231704adc73a251e46.exe,RANSOMWARE,0.9998,0.9979,0.9905,6.95,0,0,0
VirusShare_1d578c11069c7446ca6d05ff7623a972.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1d578c11069c7446ca6d05ff7623a972.exe,RANSOMWARE,0.9998,0.9984,0.9736,7.93,0,0,1
VirusShare_1aad30f76693aa8ec2fd2a9314b02125.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1aad30f76693aa8ec2fd2a9314b02125.exe,SUSPICIOUS,0.8744,0.364,0.2458,7.8,0,0,0
VirusShare_9cd4cebf8b04cd6864b59e4c0cf4aafa.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_9cd4cebf8b04cd6864b59e4c0cf4aafa.exe,RANSOMWARE,0.9991,0.9995,0.2458,8.0,0,0,0
VirusShare_7d63af3bc3bcf67c0467a136f29ff245.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_7d63af3bc3bcf67c0467a136f29ff245.exe,RANSOMWARE,0.9998,0.9974,0.9736,7.89,0,0,1
VirusShare_6f7e2f0f6ba5b0640fa5cf4b381e320a.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_6f7e2f0f6ba5b0640fa5cf4b381e320a.exe,RANSOMWARE,0.9998,0.9979,0.9894,7.0,0,0,0
VirusShare_4d702c76b43a0b6cbfe29acb2d1a37c3.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_4d702c76b43a0b6cbfe29acb2d1a37c3.exe,RANSOMWARE,0.9998,1.0,0.9777,7.86,0,0,1
VirusShare_3fe889b5b2eff8f124317ee49d65d308.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_3fe889b5b2eff8f124317ee49d65d308.exe,RANSOMWARE,0.9982,0.9961,0.9894,7.05,0,0,0
VirusShare_0ccad9c2463a6faabf79b13cfa301bea.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0ccad9c2463a6faabf79b13cfa301bea.exe,RANSOMWARE,0.9998,0.999,0.9894,6.94,0,0,0
VirusShare_1d0ffe1c9b055cc6bd0aa8661a4799fb.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1d0ffe1c9b055cc6bd0aa8661a4799fb.exe,RANSOMWARE,0.9998,1.0,0.995,7.99,0,0,0
VirusShare_1e443c84964a67b4f87309adfaee1126.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1e443c84964a67b4f87309adfaee1126.exe,RANSOMWARE,0.9991,0.9927,0.943,5.7,0,0,0
VirusShare_1e00bdc6d387b04c151aeba69dbda0c0.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1e00bdc6d387b04c151aeba69dbda0c0.exe,RANSOMWARE,0.9994,0.9974,0.6579,5.82,0,0,0
VirusShare_12a328ce6651249030f5370f255ca63e.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_12a328ce6651249030f5370f255ca63e.exe,RANSOMWARE,0.97,0.9001,0.9085,5.94,0,0,1
VirusShare_0fb1a32a0f48a33b098e30e745a03509.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0fb1a32a0f48a33b098e30e745a03509.exe,RANSOMWARE,0.9974,0.9799,0.9911,6.81,0,0,0
VirusShare_6a00e1b5feebc83783f4dcf04fce5fc9.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_6a00e1b5feebc83783f4dcf04fce5fc9.exe,RANSOMWARE,0.9916,0.9865,0.7158,5.67,0,0,0
VirusShare_9bdbd07cb1d732a47008df50356fb300.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_9bdbd07cb1d732a47008df50356fb300.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.6,0,0,0
VirusShare_9b075267189910ca7d0ba6b229b07310.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_9b075267189910ca7d0ba6b229b07310.exe,RANSOMWARE,0.9998,0.9963,0.943,5.81,0,0,0
VirusShare_1eb2c3bf864ffd0325bf612c2be88cb8.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1eb2c3bf864ffd0325bf612c2be88cb8.exe,RANSOMWARE,0.9998,0.9963,0.943,5.81,0,0,0
VirusShare_8e41308fbad55a0494fb86dbeb26f2d8.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_8e41308fbad55a0494fb86dbeb26f2d8.exe,RANSOMWARE,0.9991,0.9927,0.943,5.7,0,0,0
VirusShare_6c1de71607c37161b1791a3af41d9ca3.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_6c1de71607c37161b1791a3af41d9ca3.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.66,0,0,0
VirusShare_6bf29107ceab9ce8db30c1276995030f.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_6bf29107ceab9ce8db30c1276995030f.exe,RANSOMWARE,0.9993,0.9969,0.6579,5.88,0,0,0
VirusShare_3fe82978fcd838a3593318e3b3f02512.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_3fe82978fcd838a3593318e3b3f02512.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.6,0,0,0
VirusShare_3ea4019fee87d97fb3f6522a2c4086a6.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_3ea4019fee87d97fb3f6522a2c4086a6.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.66,0,0,0
VirusShare_2efa388cf768101d605f6e2ea8ec91f3.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_2efa388cf768101d605f6e2ea8ec91f3.exe,RANSOMWARE,0.9986,0.9906,0.943,5.87,0,0,0
VirusShare_2c07224326d4ba19fcf0ea18e4a0e79a.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_2c07224326d4ba19fcf0ea18e4a0e79a.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.66,0,0,0
VirusShare_7dc41ec30d2c26286bbb7eed15d966c5.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_7dc41ec30d2c26286bbb7eed15d966c5.exe,RANSOMWARE,0.9994,0.9974,0.6579,5.82,0,0,0
VirusShare_5dd86232c5318a09a18ce4bfe973cb0a.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_5dd86232c5318a09a18ce4bfe973cb0a.exe,RANSOMWARE,0.9991,0.9927,0.943,5.7,0,0,0
VirusShare_05ad70ff5d369a850c3f324ba1f505f9.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_05ad70ff5d369a850c3f324ba1f505f9.exe,RANSOMWARE,0.9994,0.9974,0.6579,5.82,0,0,0
VirusShare_1f868bc03fc1dca98d6e02cc9aecb7f4.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1f868bc03fc1dca98d6e02cc9aecb7f4.exe,RANSOMWARE,0.9993,0.9969,0.6579,5.88,0,0,0
