file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,disagreement
devenv.exe,0.9608,BENIGN,0.8247,0.8029,0.6467,0.8301,0.7357,0.8165,6.38,0,0,0,0.0809
language.exe,0.9998,BENIGN,1.0,0.7035,1.0,0.9637,1.0,0.8336,7.42,0,0,0,0.1664
awk.exe,0.9847,BENIGN,0.9006,0.7374,0.9455,0.5065,0.9231,0.6219,6.29,0,0,0,0.3012
vmware-vdiskmanager.exe,0.7,BENIGN,0.7031,0.8581,0.3208,0.6884,0.512,0.7733,6.65,0,0,0,0.2613
dialer.exe,0.7,BENIGN,0.0889,0.9773,0.0088,0.9289,0.0489,0.9531,5.59,1,0,0,0.9042
SELFCERT.EXE,0.9667,BENIGN,0.8555,0.7115,0.9284,0.9612,0.892,0.8363,7.2,0,0,0,0.0556
Sourceforge_6088.exe,0.9534,BENIGN,0.3371,0.2407,0.6179,0.2374,0.4775,0.2391,7.92,0,0,0,0.2384
chrome.exe,0.7,BENIGN,0.8872,0.3562,0.6425,0.233,0.7648,0.2946,6.68,0,0,0,0.4702
jxbrowser-chromium.exe,0.7,BENIGN,0.4406,0.7374,0.4193,0.5797,0.4299,0.6586,5.88,0,0,0,0.2286
urlproxy.exe,0.7871,BENIGN,0.7382,0.6475,0.5014,0.518,0.6198,0.5827,5.94,0,0,0,0.0371
Sourceforge_3056.exe,0.9998,BENIGN,1.0,0.6554,0.9903,0.7219,0.9951,0.6886,7.79,0,0,0,0.3065
Rar.exe,0.8622,BENIGN,0.8779,0.2645,0.7769,0.0666,0.8274,0.1656,6.4,1,0,0,0.6618
CNET_259964.exe,0.9934,BENIGN,0.8024,0.9937,0.5833,0.9979,0.6928,0.9958,6.07,0,0,0,0.303
CNET_36743.exe,0.9998,BENIGN,0.9905,1.0,1.0,0.999,0.9952,0.9995,7.46,1,0,0,0.0043
openssl.exe,0.9992,BENIGN,0.8558,0.7035,1.0,0.7896,0.9279,0.7466,6.63,0,0,0,0.1813
