file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
1462.exe,0.6114,BENIGN,RANSOMWARE,0.1511,0.2396,0.1911,0.228,0.1711,0.2338,7.74,0,0,0,1,0.0627
resutils.dll,0.7,BENIGN,RANSOMWARE,0.0159,0.8912,0.0041,0.8807,0.01,0.886,6.62,0,0,0,227,0.8759
edit.dll,0.7,BENIGN,RANSOMWARE,0.0931,0.759,0.0142,0.9205,0.0537,0.8398,6.06,0,0,0,87,0.7861
rjvclassicapp.dll,0.7,BENIGN,RANSOMWARE,0.0087,0.8467,0.0,0.8754,0.0043,0.861,6.36,0,0,0,282,0.8567
CNET_34060.exe,0.4989,BENIGN,SUSPICIOUS,0.3961,0.06,0.2472,0.0161,0.3216,0.0381,8.0,0,0,0,1,0.2836
CNET_22006.exe,0.7,BENIGN,RANSOMWARE,0.0738,0.9118,0.0892,0.7789,0.0815,0.8453,7.65,0,0,0,1,0.7639
MRT.exe,0.8481,BENIGN,RANSOMWARE,0.6487,0.3286,0.2404,0.5657,0.4445,0.4472,7.53,0,0,0,275,0.0026
InputPersonalization.exe,0.7,BENIGN,RANSOMWARE,0.0089,0.9716,0.008,0.8807,0.0084,0.9262,6.06,0,0,0,265,0.9177
setreg.exe,0.7981,BENIGN,RANSOMWARE,0.4266,0.1935,0.6196,0.2059,0.5231,0.1997,6.51,1,0,0,51,0.3234
CNET_43455.exe,0.6248,BENIGN,RANSOMWARE,0.5939,0.06,0.4664,0.0161,0.5301,0.0381,8.0,0,0,0,1,0.4921
InstallOptions.dll,0.7562,BENIGN,RANSOMWARE,0.3173,0.2396,0.5926,0.228,0.455,0.2338,5.47,1,0,0,80,0.2212
CNET_242346.exe,0.5592,BENIGN,SUSPICIOUS,0.1222,0.018,0.3748,0.0203,0.2485,0.0192,3.91,0,0,0,1,0.2293
Dashlane_Launcher.exe,0.8202,BENIGN,RANSOMWARE,0.8357,0.2324,0.8567,0.178,0.8462,0.2052,7.9,1,0,0,154,0.641
msjtes40.dll,0.734,BENIGN,RANSOMWARE,0.2452,0.274,0.3704,0.228,0.3078,0.251,6.15,0,0,0,118,0.0568
CNET_252100.exe,0.9861,BENIGN,RANSOMWARE,0.6943,0.922,0.6355,0.7789,0.6649,0.8505,7.86,0,0,0,1,0.1855
Sourceforge_7542.exe,0.7,BENIGN,RANSOMWARE,0.0683,0.9118,0.0412,0.7789,0.0547,0.8453,7.88,0,0,0,1,0.7906
Microsoft.CertificateServices.PKIClient.Cmdlets.ni.dll,0.5655,BENIGN,SUSPICIOUS,0.6289,0.0192,0.3823,0.0323,0.5056,0.0257,6.14,0,0,0,0,0.4798
2085.exe,0.8102,BENIGN,RANSOMWARE,0.1027,0.2396,0.2683,0.228,0.1855,0.2338,7.6,0,0,0,1,0.0483
Sourceforge_344.exe,0.9307,BENIGN,RANSOMWARE,0.3399,0.018,0.6585,0.0203,0.4992,0.0192,2.84,0,0,0,1,0.48
CNET_100363.exe,0.7,BENIGN,RANSOMWARE,0.0804,0.9118,0.1007,0.7789,0.0906,0.8453,7.53,0,0,0,1,0.7548
