file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
482754d66d01aa3579f007c2b3c3d0591865eb60ba60b9c28c66fe6f4ac53c52_8956.exe,0.0074,MALWARE,BENIGN,0.0037,0.0176,0.0104,0.0182,0.0071,0.0179,5.93,0,0,0,1,0.0109
695114d5f50f7ec14eee514b7390c18de275b820f22af27139832b594f798f0c.exe,0.256,MALWARE,BENIGN,0.4109,0.2466,0.3938,0.237,0.4024,0.2418,8.0,0,0,0,1,0.1606
8808a34a7eb0fa51a4a91580a0bd93403defa9747f10be3551b198abb1d92dd1.exe,0.1588,MALWARE,BENIGN,0.1047,0.0176,0.1428,0.0182,0.1237,0.0179,6.24,0,0,0,1,0.1058
506aa9e26a8962c561e5486356913ee40e53e5ea2434363e4b5827c126b0ce6c.exe,0.0922,MALWARE,BENIGN,0.2607,0.1025,0.1653,0.1103,0.213,0.1064,7.96,0,0,0,0,0.1066
8dd283ca012e7a70a2673d2cc211c6a616ff23bc5bd3599a1da077ba946a044c.exe,0.3616,MALWARE,BENIGN,0.0072,0.3229,0.0162,0.4204,0.0117,0.3717,5.9,0,0,0,1,0.3599
752d66990097c8be7760d8d6011b1e91daa1d5518951d86f9fdf3d126d54872a.exe,0.1709,MALWARE,BENIGN,0.0611,0.0046,0.3585,0.0051,0.2098,0.0049,5.51,0,0,0,1,0.205
37ff5b1492fe4e1083bdc87df3524d4ac7b5b604e71dfca3730a6527d3bb7d2a.exe,0.5891,MALWARE,SUSPICIOUS,0.1056,0.0176,0.2009,0.0182,0.1532,0.0179,7.27,0,0,0,1,0.1353
429af841cbbe0d2c3ca26fc4e3b2aded08c42f6ed3577a27a0af241255efc68c.exe,0.2518,MALWARE,BENIGN,0.1651,0.2867,0.1834,0.3185,0.1742,0.3026,7.18,0,0,0,1,0.1283
VirusShare_1aad30f76693aa8ec2fd2a9314b02125.exe,0.4515,MALWARE,SUSPICIOUS,0.1651,0.2466,0.0696,0.237,0.1173,0.2418,7.8,0,0,0,1,0.1245
cda99e504a122208862739087cf16b4838e9f051acfcbeb9ec794923b414c018.exe,0.6076,MALWARE,SUSPICIOUS,0.1759,0.2466,0.2704,0.237,0.2231,0.2418,7.96,0,0,0,1,0.0187
fa7ed15708d988e7f69b5628db9481816052efea29e93f1bd274a1d76006aee6.exe,0.0301,MALWARE,BENIGN,0.0174,0.0176,0.0452,0.0182,0.0313,0.0179,6.39,0,0,0,1,0.0134
790b64a5860a5069fedcb660efdffce2b5ab2195086100a6079697b662f0c198.exe,0.5279,MALWARE,SUSPICIOUS,0.1487,0.0176,0.2117,0.0182,0.1802,0.0179,7.21,0,0,0,1,0.1622
a7018ff4aaaaebda06615da54ab7d3dcfe06ffda501254eb9654aa27152629bb.exe,0.2433,MALWARE,BENIGN,0.0998,0.2466,0.0709,0.237,0.0853,0.2418,7.59,0,0,0,1,0.1565
bcb5833e9b9ff99e6d2001552ad663f511bc57af02ca6ecacb188130fd8d753f.exe,0.0532,MALWARE,BENIGN,0.026,0.0176,0.0102,0.0182,0.0181,0.0179,7.43,0,0,0,1,0.0002
1d28c4c85e241efbbe326051999b9a8e1d8eeb9a3322da5cb9a93c31c65bbb49_8856.exe,0.1726,MALWARE,BENIGN,0.1262,0.0176,0.1649,0.0182,0.1455,0.0179,6.27,0,0,0,1,0.1276
084574bf3180c1493c8f1bb5522e80255be673dbeca80b0a37ee487daf8c6919.exe,0.524,MALWARE,SUSPICIOUS,0.2888,0.2466,0.2661,0.237,0.2774,0.2418,7.72,0,0,0,1,0.0356
f53ac28e9b0ec8535333795ab9e0e52b17a77ad5eabc7b5172bd7e7aac41df12.exe,0.0184,MALWARE,BENIGN,0.0371,0.0043,0.0243,0.0051,0.0307,0.0047,3.59,0,0,0,1,0.026
482754d66d01aa3579f007c2b3c3d0591865eb60ba60b9c28c66fe6f4ac53c52.exe,0.0074,MALWARE,BENIGN,0.0037,0.0176,0.0104,0.0182,0.0071,0.0179,5.93,0,0,0,1,0.0109
