file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
38df9f7ee6504ebae134f8f446caaa0cf9f7c2c258f51023bc7eddd68e5aad12.exe,0.6486,MALWARE,SUSPICIOUS,0.139,0.0194,0.5487,0.025,0.2806,0.0233,0.1145,0.0221,0.2707,0.0225,6.83,0,0,0,1,0.2482
171c9a82171f9092fbc4b9d80af92448c9d2b6ebe00e14ceef0e5259b92578c7_9222.exe,0.4882,MALWARE,BENIGN,0.1596,0.2879,0.4194,0.2574,0.1701,0.2539,0.1125,0.2589,0.2154,0.2645,7.63,0,0,0,1,0.0491
2bcc8e7439a0170a9adb90d9deeec8675027ac39509a8aea8494700abbdb37b8.exe,0.5997,MALWARE,SUSPICIOUS,0.8152,0.103,0.5893,0.0063,0.6696,0.0313,0.6785,0.0485,0.6881,0.0473,7.23,1,0,0,150,0.6409
VirusShare_7b7f6d272f3c07cd10db43441df927e7.exe,0.1127,MALWARE,BENIGN,0.0477,0.0194,0.1844,0.025,0.164,0.0233,0.0977,0.0221,0.1235,0.0225,6.56,0,0,0,1,0.101
fd59543a425d2159dfadba8efd4d40178b609ef123a8bc5cf00fe3afef95623d.exe,0.4237,MALWARE,BENIGN,0.1345,0.2879,0.5044,0.2574,0.2413,0.2539,0.2746,0.2589,0.2887,0.2645,7.7,0,0,0,1,0.0242
482754d66d01aa3579f007c2b3c3d0591865eb60ba60b9c28c66fe6f4ac53c52.exe,0.2934,MALWARE,BENIGN,0.0096,0.0194,0.4693,0.025,0.125,0.0233,0.0098,0.0221,0.1534,0.0225,5.93,0,0,0,1,0.1309
VirusShare_631642b3ebcc9970ae58228f8987f0ec.exe,0.3407,MALWARE,BENIGN,0.1767,0.3441,0.2167,0.2208,0.2024,0.2053,0.0678,0.2589,0.1659,0.2573,4.51,0,0,0,92,0.0913
1d28c4c85e241efbbe326051999b9a8e1d8eeb9a3322da5cb9a93c31c65bbb49_8856.exe,0.1292,MALWARE,BENIGN,0.0729,0.0194,0.3836,0.025,0.1022,0.0233,0.0918,0.0221,0.1626,0.0225,6.27,0,0,0,1,0.1402
7adc2e2f2e7e0fac1c063009781343794c7a607943c5d9978d4c8d30ff5cfa01.exe,0.5572,MALWARE,SUSPICIOUS,0.8732,0.2879,0.8365,0.468,0.8068,0.2785,0.9117,0.2778,0.8571,0.328,8.0,1,0,0,164,0.529
f8da280bb9f81028c14d1e156d6685cdb5f75219a60f645f72e520fb5e388712_4871.exe,0.3116,MALWARE,BENIGN,0.0096,0.0194,0.4704,0.025,0.12,0.0233,0.0098,0.0221,0.1524,0.0225,5.16,0,0,0,1,0.1299
