iter	Logloss
0	0.6286888772
1	0.5596017346
2	0.5033990656
3	0.4637344524
4	0.4313602265
5	0.3988311567
6	0.3714237935
7	0.3488357683
8	0.3309057736
9	0.317207733
10	0.3046001392
11	0.2937226013
12	0.2830094803
13	0.27115064
14	0.2615651838
15	0.2547487704
16	0.2464853505
17	0.241514913
18	0.236747084
19	0.2322936782
20	0.2281145395
21	0.2233398816
22	0.2205295085
23	0.2171029029
24	0.2143303503
25	0.2124014042
26	0.2101116209
27	0.2079710072
28	0.2050652337
29	0.202770943
30	0.2009748945
31	0.1991337029
32	0.1980003699
33	0.1962501582
34	0.1949138762
35	0.1939159251
36	0.1927565634
37	0.1919152161
38	0.1908517667
39	0.1897057147
40	0.1883407358
41	0.1867330688
42	0.1860447815
43	0.1850981755
44	0.1847102316
45	0.1836725238
46	0.1833154454
47	0.1820727365
48	0.1814861042
49	0.18068929
50	0.1799632417
51	0.1791343585
52	0.1783126151
53	0.1777871546
54	0.1771890337
55	0.1763641815
56	0.1756325477
57	0.1750874732
58	0.1744073721
59	0.1738444599
60	0.1735048823
61	0.1730797201
62	0.1725737504
63	0.1722420552
64	0.1717512243
65	0.1712980508
66	0.1709772695
67	0.1705789077
68	0.1700344461
69	0.1696445393
70	0.1693708744
71	0.1690022897
72	0.1686191009
73	0.168172931
74	0.1679199978
75	0.1675155866
76	0.166949692
77	0.166654611
78	0.1661043767
79	0.165752796
80	0.1657456324
81	0.1655509526
82	0.1651884675
83	0.1649870122
84	0.1648208414
85	0.1646640549
86	0.1645133317
87	0.1642376429
88	0.1640164615
89	0.163716465
90	0.1633406876
91	0.1632044303
92	0.1630059292
93	0.162838746
94	0.1625268706
95	0.1623195338
96	0.1622097308
97	0.1620708602
98	0.161698239
99	0.1614466275
100	0.1612710406
101	0.1610249329
102	0.1608417319
103	0.1605326216
104	0.1604471297
105	0.1601796686
106	0.159915021
107	0.1597083142
108	0.1594134417
109	0.1590846689
110	0.1588396412
111	0.1586085946
112	0.1582257953
113	0.158066475
114	0.1579506723
115	0.1577442219
116	0.1577177379
117	0.1577035129
118	0.1576365
119	0.157623771
120	0.1575162082
121	0.1573167314
122	0.157223867
123	0.1571744934
124	0.1570228608
125	0.1568917698
126	0.156592499
127	0.1564074227
128	0.1562958292
129	0.1560654671
130	0.1560429738
131	0.1558599965
132	0.1556230965
133	0.1554577367
134	0.1552670749
135	0.1550132075
136	0.1549370447
137	0.1548351631
138	0.1548269915
139	0.1547629125
140	0.1546009202
141	0.1543390026
142	0.1541935518
143	0.1540974466
144	0.1540948598
145	0.15399261
146	0.1537976549
147	0.1536834283
148	0.1536589973
149	0.1535790823
150	0.1534646812
151	0.1534647151
152	0.1533080095
153	0.1531062013
154	0.1529989562
155	0.1527780789
156	0.1526109363
157	0.1524868214
158	0.1522690087
159	0.1521584587
160	0.1520749079
161	0.1520248738
162	0.1519044449
163	0.1518375187
164	0.1517060643
165	0.1516279749
166	0.1514639283
167	0.1513436371
168	0.1512507258
169	0.1511828527
170	0.151072061
171	0.1509948126
172	0.1509912831
173	0.1509599423
174	0.1509177832
175	0.1507741598
176	0.1506605738
177	0.1506497518
178	0.1505377226
179	0.1504419097
180	0.1503282285
181	0.1502351161
182	0.1501430198
183	0.1500185463
184	0.1499219043
185	0.1498193301
186	0.1496490537
187	0.149593593
188	0.149385268
189	0.1492696764
190	0.1491476487
191	0.1490415514
192	0.1489704059
193	0.1488767193
194	0.148796738
195	0.148796738
196	0.1486912403
197	0.1486229756
198	0.1485541282
199	0.1485073892
200	0.1484043181
201	0.1482259418
202	0.1480841804
203	0.1479115379
204	0.1477544413
205	0.1476058411
206	0.1473763316
207	0.1472591219
208	0.147212261
209	0.1471543125
210	0.1470850739
211	0.1469989455
212	0.1469791145
213	0.1469040765
214	0.1467884025
215	0.1465953806
216	0.1465447681
217	0.1464115795
218	0.1463568562
219	0.146308164
220	0.14621556
221	0.1461037572
222	0.1459870674
223	0.1458800261
224	0.1457176089
225	0.145572861
226	0.1454187043
227	0.145301388
228	0.1451126967
229	0.1450503757
230	0.1449000737
231	0.1447682718
232	0.1446652928
233	0.1446414976
234	0.144520873
235	0.1444249061
236	0.1443072407
237	0.1442466322
238	0.1441798333
239	0.1441444741
240	0.1440273412
241	0.14386728
242	0.1438058872
243	0.1436873761
244	0.1435790625
245	0.1435246915
246	0.1434314534
247	0.1433805562
248	0.1433211473
249	0.143205166
250	0.1431296232
251	0.1430353293
252	0.1429614766
253	0.1428616464
254	0.1428007842
255	0.142705263
256	0.1426684199
257	0.1426285577
258	0.1425561003
259	0.1424898089
260	0.1424586878
261	0.1424064785
262	0.1423793844
263	0.1423335549
264	0.1422801724
265	0.1422593484
266	0.1421439377
267	0.142046111
268	0.1419803638
269	0.1419088587
270	0.1418846379
271	0.141822054
272	0.1417986961
273	0.141748071
274	0.1416916499
275	0.141639082
276	0.1415765914
277	0.141502965
278	0.1414804437
279	0.1414096647
280	0.141355897
281	0.1413280268
282	0.1413074459
283	0.1412450926
284	0.1412036927
285	0.141123588
286	0.1410538936
287	0.1409838138
288	0.1409304855
289	0.1408785205
290	0.140821566
291	0.1407983071
292	0.1407122872
293	0.1407122872
294	0.1406437564
295	0.1406308868
296	0.1405607496
297	0.1405455847
298	0.14050288
299	0.1404891823
