file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,entropy,size_anomaly,shadow_del,signed,disagreement
AtBroker.exe,0.75,BENIGN,0.2676,0.9793,0.0887,0.9616,6.14,0,0,0,0.7922
215.exe,0.75,BENIGN,0.0889,0.2392,0.0469,0.2495,7.87,0,0,0,0.1765
511.exe,0.75,BENIGN,0.1412,0.1841,0.0463,0.1957,7.72,0,0,0,0.0962
CNET_204308.exe,0.75,BENIGN,0.1006,0.8385,0.0129,0.8538,7.58,0,0,0,0.7894
CNET_39889.exe,0.75,BENIGN,0.2329,0.0256,0.209,0.0106,7.99,0,0,0,0.2029
CNET_13277.exe,0.75,BENIGN,0.1006,0.0009,0.0803,0.001,7.9,0,0,0,0.0894
CNET_218593.exe,0.75,BENIGN,0.0211,0.2392,0.006,0.2495,7.86,0,0,0,0.2308
CNET_26090.exe,0.75,BENIGN,0.1793,0.2392,0.0456,0.2495,7.99,0,0,0,0.1319
gui-32.exe,0.9839,BENIGN,0.8761,0.969,0.7675,0.8781,6.39,0,0,0,0.1018
CNET_24803.exe,0.75,BENIGN,0.0228,0.0256,0.006,0.0106,7.87,0,0,0,0.0037
Rar.exe,0.7168,BENIGN,0.9537,0.2318,0.8913,0.0946,6.4,1,0,0,0.7593
Sourceforge_5350.exe,0.8896,BENIGN,0.0157,0.3833,0.0707,0.4596,6.15,0,0,0,0.3783
TSWbPrxy.exe,0.7201,BENIGN,0.0588,0.965,0.0218,0.8427,5.93,1,0,0,0.8635
Sourceforge_1184.exe,0.75,BENIGN,0.063,0.2392,0.0091,0.2495,7.91,0,0,0,0.2084
Sourceforge_5856.exe,0.6615,BENIGN,0.1043,0.0053,0.2881,0.0051,6.22,0,0,0,0.191
Sourceforge_4877.exe,0.75,BENIGN,0.1005,0.2392,0.0253,0.2495,7.98,0,0,0,0.1814
certmgr.exe,0.75,BENIGN,0.2594,0.0256,0.1539,0.0026,6.25,1,0,1,0.1925
