File_Path,Verdict,Score_or_Error
samples/ran/VirusShare_14ff6bca58c0a199be6a73675030733f.exe,MALWARE,0.9986
samples/ran/VirusShare_16f6f9f26496069fe211bdc703ec06d7.exe,MALWARE,0.9996
samples/ran/VirusShare_17d88f6eb648ec395ee5ddeebd987ef0.exe,MALWARE,1.0
samples/ran/VirusShare_0019ac218066b4b77971562d553a9a49.exe,MALWARE,0.9863
samples/ran/VirusShare_20ec847ce1b60777b067648e1b5ef9d4.exe,MALWARE,0.9986
samples/ran/VirusShare_23f7d26fcd822ed7152832a767faaad7.exe,MALWARE,0.9986
samples/ran/VirusShare_26c55905330f321288bf581aa5269fcb.exe,MALWARE,0.9957
samples/ran/VirusShare_26ed7fd502e42d2e44173b456c0d18fa.exe,MALWARE,0.9986
samples/ran/VirusShare_28a114ae03303ec9249eaa868c9b7830.exe,MALWARE,0.9986
samples/ran/VirusShare_29edd2fbedcfd056c4227eb762de516e.exe,MALWARE,0.9957
samples/ran/VirusShare_31d820378306ef1c553cb25652842864.exe,MALWARE,1.0
samples/ran/VirusShare_33da47727e5ac9797d21cf91ea33e891.exe,MALWARE,0.9908
samples/ran/VirusShare_034f8a061d88709ca04faf5b756ba470.exe,MALWARE,0.999
samples/ran/VirusShare_37bacce71c6e6b63bf2a530218e5eee5.exe,MALWARE,1.0
samples/ran/VirusShare_45b9bf6d12f5477f1ec17b28e7f3fbf0.exe,MALWARE,0.9975
samples/ran/VirusShare_48fc525c80aea2a073b4e16f4a98646b.exe,MALWARE,1.0
samples/ran/VirusShare_50d0d896555d2abba0aba1257e8373cd.exe,MALWARE,0.9999
samples/ran/VirusShare_54a6d762039fd77d11669ca5ee10f56f.exe,MALWARE,0.9999
samples/ran/VirusShare_54d0ec46edbe83832c05bb0fb00ff31c.exe,MALWARE,0.9999
samples/ran/VirusShare_59ef3417d45e5f5c01e9618aa5e98d8c.exe,MALWARE,1.0
samples/ran/VirusShare_60ad6addd2917f2bdaa6a5581d1e057d.exe,MALWARE,0.9978
samples/ran/VirusShare_67ee37db37e665b273bd0c01adcc37d3.exe,MALWARE,0.994
samples/ran/VirusShare_70b2c6b6c74c1ad8b85f3c3b55b03d21.exe,MALWARE,1.0
samples/ran/VirusShare_72c97f11f0eafb9ef2453c3b3a2a8c6e.exe,MALWARE,0.9986
samples/ran/VirusShare_72cdf03ea4ba6a1888b60945731ccded.exe,MALWARE,1.0
samples/ran/VirusShare_73d0daa29ac45b4736731c3bc4df8211.exe,MALWARE,0.9969
samples/ran/VirusShare_73e55780a356c9d9ccfbd05db8b8f36e.exe,MALWARE,0.9992
samples/ran/VirusShare_78f8f86179488bc063d21b243fc5d73c.exe,MALWARE,0.6273
samples/ran/VirusShare_80cf609659a792e72cae3fc95e30ce49.exe,MALWARE,0.9986
samples/ran/VirusShare_81d2fef190cb8f0863c9aeea060a1c2c.exe,MALWARE,0.9986
samples/ran/VirusShare_086b9b123791e1438c12e6061940eb73.exe,MALWARE,0.9975
