File_Path,Verdict,Score_or_Error
/home/heph/Documents/code/ransom/new/mb_dataset/samples/0665b7edb08806e5a0666a6888dcab0fabc8b54c89fd0be24100c7e93131be95.exe,MALWARE,0.7202
/home/heph/Documents/code/ransom/new/mb_dataset/samples/b2f915cbf1a2b6879d278f613b13d790de9a460759142f30457c3238e598e077.exe,MALWARE,0.9994
/home/heph/Documents/code/ransom/new/mb_dataset/samples/5eeef93bf1ec0664067bca6c0f074d237d056741ed1fc78a846b00f08a859f43.exe,MALWARE,0.9994
/home/heph/Documents/code/ransom/new/mb_dataset/samples/69d049fed65b114aa75024d2f2fe5b59444d77abe87c82c72cb1346e4b0696cf.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/05294c9970f365c92e0b0f1250db678dc356dbf418dba27bdd5eeb68487a7199.exe,MALWARE,0.9985
/home/heph/Documents/code/ransom/new/mb_dataset/samples/91f128a2b4da8280239f8bc1218a2a5ba7cae767394913a7dcade94038204424.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/f8adab24b3352864dd42468f92d7bfcf4e4843f14b103818fd48ba736d64f844.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/e89eb46a4bd46b2afc00ca271ecfb342321d6de42bfa106832846248d0f7d253.exe,MALWARE,0.9976
/home/heph/Documents/code/ransom/new/mb_dataset/samples/12bba7161d07efcb1b14d30054901ac9ffe5202972437b0c47c88d71e45c7176.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/95d0259be4a21ea6270862128cdaf6fa208e705384c17a1732058bba124758f6.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/c14140334714625be71b73008adf8f54c878e3c9f979c3e58d6518fb5efdf485.exe,MALWARE,0.9469
/home/heph/Documents/code/ransom/new/mb_dataset/samples/d385e5069c4999a4d4161c038443c1682dd33dc578cd7fc9d1d5b2627e41fb5d.exe,MALWARE,0.9687
/home/heph/Documents/code/ransom/new/mb_dataset/samples/de1053ee2236b2bdeeec4f1b5ebb9c0b35676196a199d7cc56641d5710d47c53.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/964217072a18c289f0b24ef402b962b331cf8c71b55681dd5390b42be8ee310b.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/975ce7324577087376ddd373fce39f064422acc4a4555f64c34c743fd0a44cbb.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/6aed0532be973d38392d39625f08a371d9734f7a83493d3506bcd14f7820690e.exe,MALWARE,0.9793
/home/heph/Documents/code/ransom/new/mb_dataset/samples/f936f6ca0b3e7dcb347e0487cf2453af8a224fc801f33a840bf2a00bc42e77b0.exe,MALWARE,0.9993
/home/heph/Documents/code/ransom/new/mb_dataset/samples/79aaceccb8865b4d31fda778be72f42296928d8ae81c201c6d3a0a4db72f6635.exe,MALWARE,0.9989
/home/heph/Documents/code/ransom/new/mb_dataset/samples/869c14299d4b52a3f5b28ee46d5ccb295808f2c0bdd73bd3027689b0378baef4.exe,MALWARE,0.9781
/home/heph/Documents/code/ransom/new/mb_dataset/samples/d2f2dcb52f79307c4f9745a169986ff1f2d5427fe4ba000efb458f7590176da6.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/502f998c0f71fa41207f363ee71267c1118ffb8c60e81d9eb0993faa9b05d4e8.exe,MALWARE,0.9983
/home/heph/Documents/code/ransom/new/mb_dataset/samples/1d1b08a2f0b09dd0f0a85439d62800bb8c3a3b8dfa0afa9ba7f9c477b8dbd6b5.exe,CLEAN,0.0026
/home/heph/Documents/code/ransom/new/mb_dataset/samples/6d189ef2bdcd62b389018913bd971f4c8e47a8349fa9101935dfebfcb69a5e06.exe,MALWARE,0.9994
/home/heph/Documents/code/ransom/new/mb_dataset/samples/564768d7bbccf0da8dd07759dec843c5fa675f80ba82bfb6b48b153cd85c63a3.exe,MALWARE,0.9785
/home/heph/Documents/code/ransom/new/mb_dataset/samples/806f3e980694e839b9563415b38a44fbf3e4832e67670233495962dcce367423.exe,MALWARE,0.9841
/home/heph/Documents/code/ransom/new/mb_dataset/samples/d42b4e9bd0c54df09c9c1925b7eb41f6a877963ededdd0dd463e3d16dfe6cd5d.exe,MALWARE,0.9994
/home/heph/Documents/code/ransom/new/mb_dataset/samples/0249b425db285f5c25f3b9e7d5d286985988db0d08402afcc98732f80dd26c5b.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/77549422a5306f905d68153b1f649745d330d45e564c927046132ecc1d20ae3e.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/3b9f7030cede5d4e6c29654a6c0b66cda26760c5e3c12821be05077221aa5f5a.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/57aebadf554e03a405a30d8ddad8caa8cfe9fa86eb32f672066dcf63691481ca.exe,MALWARE,0.9995
/home/heph/Documents/code/ransom/new/mb_dataset/samples/c9205c28eabfe49b13e87c10a15850f1b65fb52b3c352fe34e59c5090df7f712.exe,SUSPICIOUS,0.5712
/home/heph/Documents/code/ransom/new/mb_dataset/samples/a0d98d2b8035b3ecc4d0c51736c73e7a62ae95d5f31ca7b21c128d44256cb7b4.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/4582be51967f3d43ffe57cb8964ff05ada8498748168fbb01271ab66b27d4e03.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/f85d0e5a44227717ee495b09ea81b79af918c4c29308c449c706a4990559817e.exe,SUSPICIOUS,0.6758
/home/heph/Documents/code/ransom/new/mb_dataset/samples/9600db537e27db88ed2eca3be0ffab35cdb22a86a6dbb048d8deaf8f56944822.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/4525387f28bee6bb48d07e6989319f382447a8a6e48ae11f332dee9916feb8cc.exe,MALWARE,0.9977
/home/heph/Documents/code/ransom/new/mb_dataset/samples/a501583bca532c4ea11b56780a13a865b609d6a0fcd92b9c9b522f1edcc49c29.exe,MALWARE,0.9998
/home/heph/Documents/code/ransom/new/mb_dataset/samples/960bfbed44a5b8abf1ae2fcb7eecb46ac526840030d5cdef1fad6a6bb379996c.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/7e5ec68fd647e1a8fef30a2fbe250f9cf6bf6ea0ec1aa6bd37534517dd537a68.exe,MALWARE,0.9998
/home/heph/Documents/code/ransom/new/mb_dataset/samples/0ae6570d9e659ffd5efc1e3f9faca696bd12b66b8d125b1159aee9e5251a4d79.exe,MALWARE,0.9996
/home/heph/Documents/code/ransom/new/mb_dataset/samples/355bab2269c022a38af0df27bae2e84c6601b0b2c49edcb4316c2e45da2cbd27.exe,MALWARE,0.9997
/home/heph/Documents/code/ransom/new/mb_dataset/samples/6d59bb6a9874b9b03ce6ab998def5b93f68dadedccad9b14433840c2c5c3a34e.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/2bf72c8b782560f50f3eb889dc5df028d70f00b3ae09bce364dead4b59c74894.exe,MALWARE,0.9998
/home/heph/Documents/code/ransom/new/mb_dataset/samples/904c9251dc3b04216d23c15412aebd71681146091a49aca22a6382373e923ae7.exe,MALWARE,0.9186
/home/heph/Documents/code/ransom/new/mb_dataset/samples/d1ac11cf8a615c0b2d94564d20fe108f7d63f9b36723dc81328ef734a4401f53.exe,MALWARE,0.9999
/home/heph/Documents/code/ransom/new/mb_dataset/samples/51b9f246d6da85631131fcd1fabf0a67937d4bdde33625a44f7ee6a3a7baebd2.exe,MALWARE,0.9999
